rep,id,f,h,s,L_gap,eta_alpha,mab_virus,run_id
1,411|4,3.62375,0.900475,4.25756,-175.85,-5.6554e-06,70.0|274,411
1,411|3,0.961565,0.900475,2.60336,-175.85,-5.6554e-06,70.0|274,411
1,411|5,14.5223,0.900475,10.245,-175.85,-5.6554e-06,70.0|274,411
1,411|6,0.635724,0.900475,1.52317,-175.85,-5.6554e-06,70.0|274,411
1,411|8,3.04807,0.900475,4.33453,-175.85,-5.6554e-06,70.0|274,411
1,411|7,2.1664,0.900475,3.61297,-175.85,-5.6554e-06,70.0|274,411
1,411|9,1.1384,0.900475,2.16,-175.85,-5.6554e-06,70.0|274,411
1,411|10,3.15424,0.900475,3.64712,-175.85,-5.6554e-06,70.0|274,411
1,411|12,1.98265,0.900475,3.08134,-175.85,-5.6554e-06,70.0|274,411
1,411|11,1.51046,0.900475,2.96753,-175.85,-5.6554e-06,70.0|274,411
1,411|1,2.25929,3.7519,0.312159,-174.692,2.67193e-08,69.0|274,411
1,411|2,0.14511,3.7519,0.292067,-174.692,2.67193e-08,69.0|274,411
1,152|8,4.61841,0.542942,5.85433,-178.809,1.35031e-15,65.0|322,152
1,152|7,11.3502,0.542942,7.8738,-178.809,1.35031e-15,65.0|322,152
1,152|6,3.09536,0.542942,4.06852,-178.809,1.35031e-15,65.0|322,152
1,152|5,1.12427,0.542942,2.84804,-178.809,1.35031e-15,65.0|322,152
1,152|12,1.06209,0.536665,4.09804,-173.225,-4.21286e-15,28.0|322,152
1,152|11,1.02186,0.536665,4.30273,-173.225,-4.21286e-15,28.0|322,152
1,152|10,1.01386,0.536665,4.43943,-173.225,-4.21286e-15,28.0|322,152
1,152|9,0.613117,0.536665,3.29161,-173.225,-4.21286e-15,28.0|322,152
1,152|3,0.58446,0.557321,2.66172,-174.274,-0.370201,22.0|322,152
1,152|4,1.3509,0.557321,3.36545,-174.274,-0.370201,22.0|322,152
1,152|1,11.6878,2.79255,1.23633,-174.44,-1.74259e-05,69.0|322,152
1,152|2,0.199555,2.79255,1.20682,-174.44,-1.74259e-05,69.0|322,152
1,1056|8,0.234365,1.34438,1.72159,-174.463,-0.160244,65.0|276,1056
1,1056|7,0.208154,1.34438,1.51261,-174.463,-0.160244,65.0|276,1056
1,1056|6,0.375064,1.34438,2.11528,-174.463,-0.160244,65.0|276,1056
1,1056|5,0.345135,1.34438,2.28745,-174.463,-0.160244,65.0|276,1056
1,1056|12,0.157149,1.31492,3.3876,-177.618,0.0677241,28.0|276,1056
1,1056|11,0.0864868,1.31492,2.10822,-177.618,0.0677241,28.0|276,1056
1,1056|10,0.192363,1.31492,2.38243,-177.618,0.0677241,28.0|276,1056
1,1056|9,0.275217,1.31492,3.44549,-177.618,0.0677241,28.0|276,1056
1,1056|4,0.33039,1.33536,2.40774,-176.554,-0.186061,22.0|276,1056
1,1056|3,0.190076,1.33536,1.85679,-176.554,-0.186061,22.0|276,1056
1,1056|1,5.17517,-0.73558,0.186293,-177.963,-1.03714e-14,69.0|276,1056
1,1056|2,1.05612,-0.73558,2.79941,-177.963,-1.03714e-14,69.0|276,1056
1,462|6,2.80345,-0.21846,0.197825,-178.171,5.14521e-09,55.0|292,462
1,462|5,0.557146,-0.21846,0.193615,-178.171,5.14521e-09,55.0|292,462
1,462|4,4.49649,-0.21846,0.126145,-178.171,5.14521e-09,55.0|292,462
1,462|3,7.96743,-0.21846,0.117449,-178.171,5.14521e-09,55.0|292,462
1,462|9,0.0407787,1.48027,1.99038,-174.512,0.0998377,32.0|292,462
1,462|10,0.0328399,1.48027,1.62127,-174.512,0.0998377,32.0|292,462
1,462|7,0.0399644,1.48027,1.83929,-174.512,0.0998377,32.0|292,462
1,462|8,0.0521181,1.48027,2.11232,-174.512,0.0998377,32.0|292,462
1,462|11,0.880589,1.20521,2.91776,-176.406,-0.0554871,22.0|292,462
1,462|12,0.165115,1.20521,1.13551,-176.406,-0.0554871,22.0|292,462
1,462|1,0.148941,-3.79026,18.3643,-176.413,-1.29562e-08,69.0|292,462
1,462|2,0.0637845,-3.79026,2.96815,-176.413,-1.29562e-08,69.0|292,462
1,1159|8,1.09985,1.29123,3.44045,-175.665,0.153697,65.0|292,1159
1,1159|7,0.677434,1.29123,2.34449,-175.665,0.153697,65.0|292,1159
1,1159|5,0.953776,1.29123,3.21663,-175.665,0.153697,65.0|292,1159
1,1159|6,0.915707,1.29123,2.95845,-175.665,0.153697,65.0|292,1159
1,1159|11,0.142582,1.30618,2.34664,-175.001,-0.0739333,28.0|292,1159
1,1159|12,0.107154,1.30618,2.25449,-175.001,-0.0739333,28.0|292,1159
1,1159|9,0.211607,1.30618,2.22138,-175.001,-0.0739333,28.0|292,1159
1,1159|10,0.0983929,1.30618,1.33617,-175.001,-0.0739333,28.0|292,1159
1,1159|4,0.523349,1.20521,1.64829,-171.828,-0.0554871,22.0|292,1159
1,1159|3,0.634944,1.20521,2.23194,-171.828,-0.0554871,22.0|292,1159
1,1159|1,0.898193,-3.79026,2.1938,-171.835,-1.29562e-08,69.0|292,1159
1,1159|2,1.88072,-3.79026,0.798489,-171.835,-1.29562e-08,69.0|292,1159
1,1197|7,0.0450089,1.15143,1.76964,-179.96,0.0981059,65.0|103,1197
1,1197|8,0.145493,1.15143,3.60544,-179.96,0.0981059,65.0|103,1197
1,1197|6,0.0643781,1.15143,2.02136,-179.96,0.0981059,65.0|103,1197
1,1197|5,0.17776,1.15143,4.03025,-179.96,0.0981059,65.0|103,1197
1,1197|12,0.0159979,1.43602,1.05397,-178.158,-0.0935705,28.0|103,1197
1,1197|10,0.0497095,1.43602,1.92848,-178.158,-0.0935705,28.0|103,1197
1,1197|9,0.0545215,1.43602,1.96859,-178.158,-0.0935705,28.0|103,1197
1,1197|3,0.061726,1.155,2.19735,-170.549,1.64501e-15,22.0|103,1197
1,1197|4,0.06001,1.155,2.20832,-170.549,1.64501e-15,22.0|103,1197
1,1197|11,0.0167991,1.43602,1.25551,-178.158,-0.0935705,28.0|103,1197
1,1197|1,1.07745,5.9759,2.12147,-175.976,1.62203e-14,69.0|103,1197
1,1197|2,0.34562,5.9759,1.92478,-175.976,1.62203e-14,69.0|103,1197
