rep,id,eta_f,eta_h,eta_s,eta_L_gap,eta_eta_alpha,mab_virus,run_id
1,411|4,1.02537,-2.83939e-08,1.29331,-1.27255e-07,0,70.0|274,411
1,411|3,0.981521,-7.29673e-09,1.56929,-3.84237e-08,0,70.0|274,411
1,411|5,0.666007,-4.21143e-08,1.00716,-2.46498e-08,0,70.0|274,411
1,411|6,0.43537,-2.05861e-08,0.73797,-2.42892e-08,0,70.0|274,411
1,411|8,0.661974,1.75076e-08,1.13918,3.15482e-08,0,70.0|274,411
1,411|7,0.91323,2.21115e-08,1.375,-6.21537e-09,0,70.0|274,411
1,411|9,-0.412811,-3.67184e-09,0.409013,-2.1715e-08,0,70.0|274,411
1,411|10,1.17878,-2.7065e-08,1.22105,2.94034e-08,0,70.0|274,411
1,411|12,0.33702,-1.86612e-09,1.14872,-4.58871e-08,0,70.0|274,411
1,411|11,0.440946,-2.66269e-09,1.0694,6.13342e-08,0,70.0|274,411
1,411|1,1.8123,1.16502e-08,-0.653407,-3.94823e-08,0,69.0|274,411
1,411|2,0.617823,2.68971e-08,-0.633703,-4.98995e-08,0,69.0|274,411
1,152|8,0.281011,1.00987e-08,1.25317,3.94537e-08,0,65.0|322,152
1,152|7,0.875742,-4.34366e-08,1.26699,6.15213e-08,0,65.0|322,152
1,152|6,1.89359,-1.74814e-08,1.72355,1.21492e-08,0,65.0|322,152
1,152|5,0.357054,-1.09925e-08,1.1169,-8.26048e-08,0,65.0|322,152
1,152|12,-0.0770118,-1.48004e-08,1.55659,-1.41886e-07,0,28.0|322,152
1,152|11,0.433804,-4.13452e-09,1.66704,1.25292e-08,0,28.0|322,152
1,152|10,-0.0892767,-2.90217e-08,1.37926,5.41889e-08,0,28.0|322,152
1,152|9,2.07538,-8.05422e-09,2.14218,-2.97664e-08,0,28.0|322,152
1,152|3,-0.492445,3.06712e-08,0.973974,9.91452e-08,0,22.0|322,152
1,152|4,0.319232,-6.65736e-08,1.20728,1.37224e-07,0,22.0|322,152
1,152|1,-2.63865,-5.00572e-09,-1.08168,-5.11626e-08,0,69.0|322,152
1,152|2,-3.22983,-8.15421e-09,-0.786615,4.63422e-09,0,69.0|322,152
1,1056|8,-1.30789,-1.44476e-08,0.675525,2.41813e-08,0,65.0|276,1056
1,1056|7,-1.41115,9.15147e-09,0.592185,6.44385e-08,0,65.0|276,1056
1,1056|6,-0.358125,-3.85999e-09,1.21273,6.21569e-09,0,65.0|276,1056
1,1056|5,-1.15038,1.30534e-08,0.702354,7.19537e-08,0,65.0|276,1056
1,1056|12,-2.29329,1.62933e-08,0.902732,-4.34027e-08,0,28.0|276,1056
1,1056|11,-2.07252,-3.69836e-08,1.01085,1.26978e-08,0,28.0|276,1056
1,1056|10,-1.34767,-2.66519e-08,1.31536,-7.17336e-08,0,28.0|276,1056
