id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_eta_alpha_SAEM,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,eta_eta_alpha_mode,mab_virus,run_id
411|4,0.363202,1.99268e-09,0,-4.34424e-09,0,0.330639,1.17684e-14,0,-1.42109e-13,0,70.0|274,411
411|3,-0.222232,2.91455e-09,0,5.05295e-09,0,-0.227567,-2.32037e-14,0,8.52651e-14,0,70.0|274,411
411|5,0.459733,1.14579e-08,0,1.41499e-11,0,0.434847,-2.19602e-13,0,8.52651e-14,0,70.0|274,411
411|6,0.562056,-3.24362e-09,0,1.77474e-09,0,0.522358,-1.54876e-13,0,-2.27374e-13,0,70.0|274,411
411|8,0.0730647,1.46008e-09,0,-4.38733e-09,0,0.06686,4.92939e-14,0,1.42109e-13,0,70.0|274,411
411|7,0.00355653,-2.41492e-09,0,6.25546e-09,0,-0.00407249,7.92699e-14,0,-1.42109e-13,0,70.0|274,411
411|9,0.378585,6.26488e-09,0,-4.29853e-09,0,0.364625,9.60343e-14,0,2.84217e-14,0,70.0|274,411
411|10,0.52841,-3.00556e-09,0,-5.63645e-09,0,0.498024,5.18474e-14,0,-2.84217e-14,0,70.0|274,411
411|12,0.00347703,-4.43565e-09,0,9.12698e-09,0,-0.0315889,9.92983e-13,0,1.13687e-13,0,70.0|274,411
411|11,0.132972,4.03873e-09,0,-5.15332e-10,0,0.0994502,7.39409e-14,0,-1.98952e-13,0,70.0|274,411
411|1,-0.0471796,2.79334e-10,0,1.48085e-09,0,-1.68718e-07,-1.33227e-15,0,0,0,69.0|274,411
411|2,-0.31328,3.52766e-09,0,1.87867e-09,0,-7.07048e-07,0,0,0,0,69.0|274,411
152|8,-0.523676,9.4184e-10,0,3.75473e-09,0,-0.539862,5.68434e-14,0,-1.13687e-13,0,65.0|322,152
152|7,-0.425367,4.85806e-09,0,4.77634e-09,0,-0.438295,9.10383e-14,0,0,0,65.0|322,152
152|6,-0.475182,1.05863e-08,0,-1.64977e-09,0,-0.496438,2.44249e-14,0,0,0,65.0|322,152
152|5,-0.546306,-2.89008e-09,0,-3.61285e-10,0,-0.548484,1.22569e-13,0,5.68434e-14,0,65.0|322,152
152|12,-1.80821,-2.82084e-09,0,6.60989e-10,0,-1.82639,1.27454e-13,0,5.68434e-14,0,28.0|322,152
152|11,-1.5619,-6.36027e-09,0,3.42747e-09,0,-1.57834,1.13021e-13,0,5.68434e-14,0,28.0|322,152
152|10,-1.51148,6.28445e-09,0,1.15373e-09,0,-1.5533,-2.66454e-14,0,-5.68434e-14,0,28.0|322,152
152|9,-1.38298,-3.19684e-09,0,1.77491e-09,0,-1.41764,1.35558e-13,0,5.68434e-14,0,28.0|322,152
152|3,-0.707628,3.79804e-09,0,2.40815e-09,0,-0.747144,1.11022e-14,0,2.84217e-14,0,22.0|322,152
152|4,-0.648211,3.41791e-09,0,1.73031e-08,0,-0.662817,-9.65894e-15,0,5.68434e-14,0,22.0|322,152
152|1,0.134251,-5.75013e-10,0,-1.82442e-09,0,9.22166e-08,1.33227e-14,0,0,0,69.0|322,152
152|2,-0.0466372,-2.59472e-09,0,-1.82148e-09,0,-1.27197e-06,7.10543e-15,0,0,0,69.0|322,152
1056|8,-0.935283,5.58651e-10,0,-4.54439e-09,0,-0.961557,2.5091e-14,0,1.98952e-13,0,65.0|276,1056
1056|7,-0.956943,4.4651e-09,0,-6.65044e-09,0,-0.985858,-1.08358e-13,0,8.52651e-14,0,65.0|276,1056
1056|6,-0.951985,-1.4534e-09,0,-1.04577e-08,0,-0.950711,-2.90434e-13,0,8.52651e-14,0,65.0|276,1056
1056|5,-1.04074,4.94199e-09,0,-6.58324e-09,0,-1.03852,-2.22489e-13,0,-1.98952e-13,0,65.0|276,1056
1056|12,-2.40373,3.22581e-09,0,5.46532e-09,0,-2.40897,-2.62013e-13,0,-5.68434e-14,0,28.0|276,1056
1056|11,-2.23319,3.25557e-09,0,-3.45647e-10,0,-2.25828,1.82077e-14,0,1.98952e-13,0,28.0|276,1056
1056|10,-1.82396,-5.30642e-09,0,2.48731e-09,0,-1.85037,1.1724e-13,0,-8.52651e-14,0,28.0|276,1056
1056|9,-1.74872,-5.86932e-09,0,-5.41079e-09,0,-1.78216,-3.44613e-13,0,-5.68434e-14,0,28.0|276,1056
1056|4,-1.13755,-5.81515e-09,0,4.51185e-09,0,-1.16855,1.5099e-14,0,-3.41061e-13,0,22.0|276,1056
1056|3,-1.25245,4.84078e-09,0,-2.65867e-09,0,-1.27192,7.28306e-14,0,1.13687e-13,0,22.0|276,1056
1056|1,0.0606773,4.80625e-10,0,-6.76031e-09,0,2.21777e-06,-1.27676e-14,0,0,0,69.0|276,1056
1056|2,0.320666,4.86402e-09,0,4.23452e-11,0,-3.50032e-07,1.55431e-15,0,0,0,69.0|276,1056
462|6,-14.1847,7.98476e-10,0,-5.22368e-09,0,-13.8838,-2.23155e-14,0,2.84217e-14,0,55.0|292,462
462|5,-14.8793,4.61505e-09,0,4.54887e-10,0,-14.2928,5.25135e-14,0,5.68434e-14,0,55.0|292,462
462|4,-17.3181,-5.58891e-09,0,3.03373e-09,0,-16.9959,1.18794e-14,0,-1.7053e-13,0,55.0|292,462
462|3,-17.7073,5.10559e-09,0,-2.4684e-09,0,-17.486,-2.56184e-14,0,0,0,55.0|292,462
462|9,-2.87554,-2.01634e-09,0,-1.63031e-09,0,-2.87281,6.50591e-14,0,-1.7053e-13,0,32.0|292,462
462|10,-2.87634,3.04268e-09,0,4.15281e-09,0,-2.86685,1.91847e-13,0,3.41061e-13,0,32.0|292,462
462|7,-2.73656,8.6203e-09,0,-1.33562e-09,0,-2.74507,1.29674e-13,0,1.13687e-13,0,32.0|292,462
462|8,-2.72141,-5.42056e-09,0,1.21295e-08,0,-2.72359,-3.34399e-13,0,2.55795e-13,0,32.0|292,462
462|11,-0.396606,6.77098e-09,0,-3.22995e-09,0,-0.457668,-1.62981e-13,0,0,0,22.0|292,462
