rep,id,f,h,s,L_gap,eta_alpha,mab_virus,run_id
1,411|4,3.04359,0.900476,3.31824,-175.85,0.000815575,70.0|274,411
1,411|3,1.4533,0.900476,3.31824,-175.85,0.000815575,70.0|274,411
1,411|5,2.75836,0.900476,3.31824,-175.85,0.000815575,70.0|274,411
1,411|6,3.31704,0.900476,3.31824,-175.85,0.000815575,70.0|274,411
1,411|8,1.94114,0.900476,3.31824,-175.85,0.000815575,70.0|274,411
1,411|7,1.8811,0.900476,3.31824,-175.85,0.000815575,70.0|274,411
1,411|9,2.68135,0.900476,3.31824,-175.85,0.000815575,70.0|274,411
1,411|10,3.01733,0.900476,3.31824,-175.85,0.000815575,70.0|274,411
1,411|12,2.01958,0.900476,3.31824,-175.85,0.000815575,70.0|274,411
1,411|11,2.06482,0.900476,3.31824,-175.85,0.000815575,70.0|274,411
1,411|1,0.0293533,3.7519,3.31824,-174.692,0.00082011,69.0|274,411
1,411|2,10.6368,3.7519,3.31824,-174.692,0.00082011,69.0|274,411
1,152|8,2.88183,0.542942,4.20362,-178.809,0.000815545,65.0|322,152
1,152|7,3.04921,0.542942,4.20362,-178.809,0.000815545,65.0|322,152
1,152|6,4.15892,0.542942,4.20362,-178.809,0.000815545,65.0|322,152
1,152|5,3.27699,0.542942,4.20362,-178.809,0.000815545,65.0|322,152
1,152|12,0.913674,0.536665,4.20362,-173.225,0.000815542,28.0|322,152
1,152|11,0.987683,0.536665,4.20362,-173.225,0.000815542,28.0|322,152
1,152|10,1.00624,0.536665,4.20362,-173.225,0.000815542,28.0|322,152
1,152|9,1.22547,0.536665,4.20362,-173.225,0.000815542,28.0|322,152
1,152|3,2.061,0.557321,4.20362,-174.274,0.00661734,22.0|322,152
1,152|4,2.62534,0.557321,4.20362,-174.274,0.00661734,22.0|322,152
1,152|1,0.0108124,2.79255,4.20362,-174.44,0.000815535,69.0|322,152
1,152|2,0.000836498,2.79255,4.20362,-174.44,0.000815535,69.0|322,152
1,1056|8,0.256288,1.34438,1.93051,-174.463,0.00406816,65.0|276,1056
1,1056|7,0.260591,1.34438,1.93051,-174.463,0.00406816,65.0|276,1056
1,1056|6,0.297602,1.34438,1.93051,-174.463,0.00406816,65.0|276,1056
1,1056|5,0.25031,1.34438,1.93051,-174.463,0.00406816,65.0|276,1056
1,1056|12,0.0698524,1.31492,1.93051,-177.618,0.086286,28.0|276,1056
1,1056|11,0.0818038,1.31492,1.93051,-177.618,0.086286,28.0|276,1056
1,1056|10,0.12884,1.31492,1.93051,-177.618,0.086286,28.0|276,1056
1,1056|9,0.13475,1.31492,1.93051,-177.618,0.086286,28.0|276,1056
1,1056|4,0.241482,1.33536,1.93051,-176.554,0.000814205,22.0|276,1056
1,1056|3,0.207854,1.33536,1.93051,-176.554,0.000814205,22.0|276,1056
1,1056|1,0.402717,-0.73558,1.93051,-177.963,0.00081666,69.0|276,1056
1,1056|2,10.7202,-0.73558,1.93051,-177.963,0.00081666,69.0|276,1056
1,462|6,0.000219538,-0.21846,1.44659,-178.171,-1.08929,55.0|292,462
1,462|5,2.42313e-05,-0.21846,1.44659,-178.171,-1.08929,55.0|292,462
1,462|4,9.40237e-06,-0.21846,1.44659,-178.171,-1.08929,55.0|292,462
1,462|3,2.99184e-06,-0.21846,1.44659,-178.171,-1.08929,55.0|292,462
1,462|9,0.0234552,1.48027,1.44659,-174.512,0.115052,32.0|292,462
1,462|10,0.02735,1.48027,1.44659,-174.512,0.115052,32.0|292,462
1,462|7,0.0260517,1.48027,1.44659,-174.512,0.115052,32.0|292,462
1,462|8,0.0267089,1.48027,1.44659,-174.512,0.115052,32.0|292,462
1,462|11,0.27417,1.20522,1.44659,-176.406,-0.132064,22.0|292,462
1,462|12,0.246578,1.20522,1.44659,-176.406,-0.132064,22.0|292,462
1,462|1,1.02628,-3.79026,1.44659,-176.413,0.000678285,69.0|292,462
1,462|2,19.0369,-3.79026,1.44659,-176.413,0.000678285,69.0|292,462
1,1159|8,0.513266,1.29123,1.93047,-175.665,0.155173,65.0|292,1159
1,1159|7,0.664025,1.29123,1.93047,-175.665,0.155173,65.0|292,1159
1,1159|5,0.477298,1.29123,1.93047,-175.665,0.155173,65.0|292,1159
1,1159|6,0.498614,1.29123,1.93047,-175.665,0.155173,65.0|292,1159
1,1159|11,0.106665,1.30618,1.93047,-175.001,-0.0690859,28.0|292,1159
1,1159|12,0.0767886,1.30618,1.93047,-175.001,-0.0690859,28.0|292,1159
1,1159|9,0.149827,1.30618,1.93047,-175.001,-0.0690859,28.0|292,1159
1,1159|10,0.174339,1.30618,1.93047,-175.001,-0.0690859,28.0|292,1159
1,1159|4,0.567909,1.20522,1.93047,-171.828,-0.132064,22.0|292,1159
1,1159|3,0.644968,1.20522,1.93047,-171.828,-0.132064,22.0|292,1159
1,1159|1,1.73422,-3.79026,1.93047,-171.835,0.000678285,69.0|292,1159
1,1159|2,41767.7,-3.79026,1.93047,-171.835,0.000678285,69.0|292,1159
1,1197|7,0.0545534,1.15143,1.93051,-179.96,-0.00565717,65.0|103,1197
1,1197|8,0.0631911,1.15143,1.93051,-179.96,-0.00565717,65.0|103,1197
1,1197|6,0.0458744,1.15143,1.93051,-179.96,-0.00565717,65.0|103,1197
1,1197|5,0.0614337,1.15143,1.93051,-179.96,-0.00565717,65.0|103,1197
1,1197|12,0.0488851,1.43602,1.93051,-178.158,0.00175318,28.0|103,1197
1,1197|10,0.0498849,1.43602,1.93051,-178.158,0.00175318,28.0|103,1197
1,1197|9,0.049454,1.43602,1.93051,-178.158,0.00175318,28.0|103,1197
1,1197|3,0.0637947,1.155,1.93051,-170.549,0.000815542,22.0|103,1197
1,1197|4,0.0494304,1.155,1.93051,-170.549,0.000815542,22.0|103,1197
1,1197|11,0.0399531,1.43602,1.93051,-178.158,0.00175318,28.0|103,1197
1,1197|1,0.0916264,5.9759,1.93051,-175.976,0.00399638,69.0|103,1197
1,1197|2,0.00017842,5.9759,1.93051,-175.976,0.00399638,69.0|103,1197
