rep,id,eta_f,eta_h,eta_s,eta_L_gap,eta_eta_alpha,mab_virus,run_id
1,411|4,0.662944,0,1.00796,-1.00687e-07,-0.0109564,70.0|274,411
1,411|3,-0.054506,0,0.927732,5.85219e-08,-0.0669093,70.0|274,411
1,411|5,0.763515,0,0.986847,4.98242e-08,0.0153208,70.0|274,411
1,411|6,0.219138,0,0.714205,-2.99546e-08,-0.242601,70.0|274,411
1,411|8,0.273632,0,0.911715,1.09427e-08,0.0757855,70.0|274,411
1,411|7,-0.00470934,0,0.79504,7.941e-09,0.0023584,70.0|274,411
1,411|9,-0.428057,0,0.353837,4.07894e-08,-0.00497755,70.0|274,411
1,411|10,0.603319,0,0.892061,-4.16699e-08,0.0463711,70.0|274,411
1,411|12,-0.244684,0,0.660318,-2.11319e-08,-0.0837963,70.0|274,411
1,411|11,0.184132,0,0.825693,1.2409e-07,-0.104763,70.0|274,411
1,411|1,0.0429008,0,0.336238,5.06236e-09,-0.0735479,69.0|274,411
1,411|2,0.123033,0,-0.396283,4.96426e-08,-0.0847368,69.0|274,411
1,152|8,-0.709709,0,0.677981,-5.68743e-08,0.0815738,65.0|322,152
1,152|7,-0.177292,0,0.803996,-6.34392e-08,0.00958974,65.0|322,152
1,152|6,-0.683203,0,0.543211,2.39282e-08,-0.159969,65.0|322,152
1,152|5,-1.37434,0,0.365714,1.95963e-08,0.000862867,65.0|322,152
1,152|12,-1.17937,0,0.963758,-8.24547e-08,0.0747635,28.0|322,152
1,152|11,-0.680193,0,1.15253,-3.17943e-08,-0.0367384,28.0|322,152
1,152|10,-0.741074,0,1.11474,-4.74893e-08,-0.14175,28.0|322,152
1,152|9,-0.81301,0,1.06422,-8.82123e-08,0.0719815,28.0|322,152
1,152|3,-1.13067,0,0.586649,-2.44295e-08,-0.226212,22.0|322,152
1,152|4,-0.731944,0,0.696875,2.57087e-08,0.0576473,22.0|322,152
1,152|1,-0.357948,0,-0.778279,2.50363e-08,-0.0103,69.0|322,152
1,152|2,0.00707008,0,-1.03269,-1.20595e-08,-0.108513,69.0|322,152
1,1056|8,-0.576576,0,1.22551,-9.22577e-09,-0.0722821,65.0|276,1056
1,1056|7,-0.317221,0,1.37567,1.99468e-08,-0.0398379,65.0|276,1056
1,1056|6,0.00789539,0,1.64021,5.61693e-08,-0.181527,65.0|276,1056
1,1056|5,-0.171184,0,1.55642,-1.98551e-08,-0.0939774,65.0|276,1056
1,1056|12,-0.680461,0,2.06397,-3.16316e-08,-0.0149444,28.0|276,1056
1,1056|11,-0.152126,0,2.32247,7.80717e-08,0.0483761,28.0|276,1056
1,1056|10,-0.636688,0,1.71836,7.52886e-08,-0.203374,28.0|276,1056
1,1056|9,0.767225,0,2.5958,-1.15846e-08,-0.087383,28.0|276,1056
1,1056|4,-0.71947,0,1.28059,8.55977e-10,-0.0479657,22.0|276,1056
1,1056|3,-0.331149,0,1.56157,6.63248e-08,-0.152243,22.0|276,1056
1,1056|1,-0.313136,0,0.208605,1.03239e-08,0.250507,69.0|276,1056
1,1056|2,0.222295,0,-1.68939,-1.2943e-09,-0.000582301,69.0|276,1056
1,462|6,0.305208,0,0.414395,6.34936e-08,-0.0848532,55.0|292,462
1,462|5,-0.880524,0,0.016102,-2.03127e-08,0.0982143,55.0|292,462
1,462|4,-0.215719,0,0.23355,-5.49837e-08,0.0519706,55.0|292,462
1,462|3,0.217101,0,0.269692,-2.20948e-08,0.0131353,55.0|292,462
1,462|9,-0.0116414,0,2.80666,-6.04624e-08,0.119786,32.0|292,462
1,462|10,0.0916812,0,2.87187,2.83556e-08,-0.00156512,32.0|292,462
1,462|7,0.284899,0,2.86264,-2.16527e-08,0.390624,32.0|292,462
1,462|8,0.396253,0,2.96694,7.10959e-08,0.0124634,32.0|292,462
1,462|11,1.09807,0,1.90641,-4.19064e-09,0.0766094,22.0|292,462
1,462|12,-0.343708,0,1.01776,1.62881e-08,-0.106351,22.0|292,462
1,462|1,0.108489,0,-0.348115,-7.21253e-08,-0.0494703,69.0|292,462
1,462|2,1.33638,0,-0.0277897,2.28639e-08,-0.0482962,69.0|292,462
1,1159|8,0.533618,0,1.56617,1.71738e-08,-0.0362522,65.0|292,1159
1,1159|7,0.97051,0,1.78644,-3.13407e-08,0.118987,65.0|292,1159
1,1159|5,0.406211,0,1.47365,5.72145e-08,0.0868523,65.0|292,1159
1,1159|6,1.27224,0,2.02071,-6.90389e-09,0.228337,65.0|292,1159
1,1159|11,0.872312,0,2.72727,-3.78222e-08,0.0634187,28.0|292,1159
1,1159|12,-0.00841002,0,2.2642,-6.14835e-08,-0.0997404,28.0|292,1159
1,1159|9,0.505313,0,2.13961,-3.28197e-08,0.0634004,28.0|292,1159
1,1159|10,-0.249353,0,1.64881,-1.42034e-08,0.20146,28.0|292,1159
1,1159|4,1.01421,0,1.6296,1.69323e-08,-0.0545553,22.0|292,1159
1,1159|3,1.17633,0,1.82201,-1.63561e-09,-0.0607837,22.0|292,1159
1,1159|1,0.935968,0,-0.41683,-6.8942e-09,-0.0530408,69.0|292,1159
1,1159|2,-1.14825,0,-0.101932,3.30792e-08,-0.0577904,69.0|292,1159
1,1197|7,-0.315065,0,2.35852,5.52577e-08,0.159735,65.0|103,1197
1,1197|8,-0.317721,0,2.2928,3.4717e-08,0.0437377,65.0|103,1197
1,1197|6,-0.297,0,2.38679,4.65162e-08,0.102295,65.0|103,1197
1,1197|5,-0.000656323,0,2.5623,4.7971e-08,0.0837615,65.0|103,1197
1,1197|12,-0.557756,0,2.3766,-1.68352e-08,-0.151403,28.0|103,1197
1,1197|10,-0.231176,0,2.41325,-1.83943e-08,0.168039,28.0|103,1197
1,1197|9,0.186453,0,2.70064,1.76028e-08,0.0607629,28.0|103,1197
1,1197|3,-0.419337,0,2.36627,7.36435e-09,0.0418513,22.0|103,1197
1,1197|4,0.070904,0,2.76325,1.09208e-07,0.149728,22.0|103,1197
1,1197|11,-0.222239,0,2.60192,2.49702e-08,-0.0713449,28.0|103,1197
1,1197|1,0.242637,0,-2.62561,1.48127e-08,-0.11699,69.0|103,1197
1,1197|2,-0.855624,0,0.9526,3.8349e-08,-0.0185741,69.0|103,1197
