id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,0.23285,-0.0131098,0.316783,0,0,0,4.05162e-07,-1.10601e-08,-1.82049e-07,0,0,0,False,69.0|162,84
8|84|cc|2|1|162,0.827323,0.0166767,0.0605698,0,0,0,3.1101e-08,-1.54257e-09,-1.81703e-07,0,0,0,False,69.0|162,84
8|84|cc|3|1|162,0.634687,-0.0020966,-0.601892,0,0,0,2.90788e-07,-9.8271e-09,3.34834e-08,0,0,0,False,69.0|162,84
8|84|cc|4|1|162,0.20909,-0.00321363,0.180302,0,0,0,4.93476e-07,1.08997e-09,-9.3108e-08,0,0,0,False,69.0|162,84
8|84|cc|5|1|162,0.609595,-0.00665199,0.296834,0,0,0,-8.70822e-08,-7.56248e-09,1.2725e-07,0,0,0,False,69.0|162,84
8|84|cc|6|1|162,-1.02826,-0.0138343,-0.774074,0,0,0,-1.11085e-08,-1.33756e-09,-1.82029e-07,0,0,0,False,69.0|162,84
8|84|cc|7|1|162,-0.0101548,0.0334925,0.159289,0,0,0,-1.57276e-07,5.10085e-09,1.46609e-07,0,0,0,False,69.0|162,84
8|84|cc|8|1|162,-1.29146,0.0204584,0.0248812,0,0,0,-2.01448e-07,1.54524e-08,-2.43766e-07,0,0,0,False,69.0|162,84
8|84|sample|10|162,0.291062,-0.0285302,-1.00089,0,0,0,0.0414712,-0.0311627,-0.987258,0,0,0,True,32.0|162,84
8|84|sample|11|162,1.68907,0.0292243,-1.20505,0,0,0,-0.0249796,0.0213061,-1.20231,0,0,0,True,22.0|162,84
8|84|sample|12|162,-2.66046,-0.13389,-1.37157,0,0,0,-0.034987,-0.11741,-1.30558,0,0,0,True,22.0|162,84
8|84|sample|3|162,0.226793,0.0153561,-2.3656,0,0,0,0.00358897,-0.0233674,-2.40221,0,0,0,True,55.0|162,84
8|84|sample|4|162,-1.16422,-0.0712042,-2.54131,0,0,0,0.00455295,-0.0618231,-2.43487,0,0,0,True,55.0|162,84
8|84|sample|5|162,-0.700082,-0.320882,-4.38793,0,0,0,0.113705,-0.319418,-4.24712,0,0,0,True,55.0|162,84
8|84|sample|6|162,-2.01496,-0.258381,-4.06738,0,0,0,0.0720186,-0.287411,-4.14909,0,0,0,True,55.0|162,84
8|84|sample|7|162,-2.48096,0.00693128,-1.07727,0,0,0,0.0140128,-0.00087239,-1.09313,0,0,0,True,32.0|162,84
8|84|sample|8|162,-0.84743,0.00934115,-1.01175,0,0,0,0.0537578,-0.00883533,-1.04938,0,0,0,True,32.0|162,84
8|84|sample|9|162,3.1641,0.0663622,-0.748776,0,0,0,0.0448904,0.0357307,-0.822301,0,0,0,True,32.0|162,84
8|84|vc|1|2|162,0.475064,0.0271158,-0.119952,0,0,0,2.88828e-07,-5.59114e-09,1.86822e-07,0,0,0,False,69.0|162,84
8|84|vc|2|2|162,1.5929,0.00477698,-0.0487348,0,0,0,2.48918e-07,4.7806e-09,-6.8439e-08,0,0,0,False,69.0|162,84
8|84|vc|3|2|162,0.123774,0.0257907,0.246402,0,0,0,-8.48755e-07,-1.01477e-08,2.69265e-07,0,0,0,False,69.0|162,84
8|84|vc|4|2|162,-0.523627,0.0164615,0.245133,0,0,0,2.9754e-08,1.0328e-08,8.49032e-08,0,0,0,False,69.0|162,84
