id,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|cc|2|1|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|cc|3|1|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|cc|4|1|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|cc|5|1|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|cc|6|1|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|cc|7|1|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|cc|8|1|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|sample|10|162,1316.65,1.37816,0.0477732,93.3138,0.0691605,0.250124,1316.65,1.37816,0.0477732,93.3137,0.0691607,0.250124,True,32.0|162,84
8|84|sample|11|162,1316.65,1.39735,0.0300809,93.3138,0.0691605,0.250124,1316.65,1.39735,0.0300809,93.3137,0.0691607,0.250124,True,22.0|162,84
8|84|sample|12|162,1316.65,1.39735,0.0300809,93.3138,0.0691605,0.250124,1316.65,1.39735,0.0300809,93.3137,0.0691607,0.250124,True,22.0|162,84
8|84|sample|3|162,1316.65,4.83574,0.04649,93.3138,0.0691605,0.250124,1316.65,4.83574,0.04649,93.3137,0.0691607,0.250124,True,55.0|162,84
8|84|sample|4|162,1316.65,4.83574,0.04649,93.3138,0.0691605,0.250124,1316.65,4.83574,0.04649,93.3137,0.0691607,0.250124,True,55.0|162,84
8|84|sample|5|162,1316.65,4.83574,0.04649,93.3138,0.0691605,0.250124,1316.65,4.83574,0.04649,93.3137,0.0691607,0.250124,True,55.0|162,84
8|84|sample|6|162,1316.65,4.83574,0.04649,93.3138,0.0691605,0.250124,1316.65,4.83574,0.04649,93.3137,0.0691607,0.250124,True,55.0|162,84
8|84|sample|7|162,1316.65,1.37816,0.0477732,93.3138,0.0691605,0.250124,1316.65,1.37816,0.0477732,93.3137,0.0691607,0.250124,True,32.0|162,84
8|84|sample|8|162,1316.65,1.37816,0.0477732,93.3138,0.0691605,0.250124,1316.65,1.37816,0.0477732,93.3137,0.0691607,0.250124,True,32.0|162,84
8|84|sample|9|162,1316.65,1.37816,0.0477732,93.3138,0.0691605,0.250124,1316.65,1.37816,0.0477732,93.3137,0.0691607,0.250124,True,32.0|162,84
8|84|vc|1|2|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|vc|2|2|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|vc|3|2|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|vc|4|2|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|vc|5|2|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|vc|6|2|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|vc|7|2|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|84|vc|8|2|162,1316.65,1.56515,0.0464937,93.315,0.0691605,0.250124,1316.65,1.56515,0.0464937,93.315,0.0691607,0.250124,False,69.0|162,84
8|719|cc|1|1|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|cc|2|1|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|cc|3|1|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|cc|4|1|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|cc|5|1|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|cc|6|1|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|cc|7|1|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|cc|8|1|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|sample|10|274,1316.65,1.03456,0.0464888,93.3138,0.00913407,0.250121,1316.65,1.03456,0.0464888,93.3137,0.00913402,0.250122,True,32.0|274,719
8|719|sample|11|274,1316.65,0.97068,0.0464925,93.3138,0.00913407,0.250121,1316.65,0.970681,0.0464925,93.3137,0.00913402,0.250122,True,22.0|274,719
8|719|sample|12|274,1316.65,0.970681,0.0464925,93.3138,0.00913407,0.250121,1316.65,0.970681,0.0464925,93.3137,0.00913402,0.250122,True,22.0|274,719
8|719|sample|3|274,1316.65,2.45978,0.0464861,93.3138,0.00913407,0.250121,1316.65,2.45978,0.0464857,93.3137,0.00913402,0.250122,True,55.0|274,719
8|719|sample|4|274,1316.65,2.45978,0.0464861,93.3138,0.00913407,0.250121,1316.65,2.45978,0.0464857,93.3137,0.00913402,0.250122,True,55.0|274,719
8|719|sample|5|274,1316.65,2.45978,0.0464861,93.3138,0.00913407,0.250121,1316.65,2.45978,0.0464857,93.3137,0.00913402,0.250122,True,55.0|274,719
8|719|sample|6|274,1316.65,2.45978,0.0464861,93.3138,0.00913407,0.250121,1316.65,2.45978,0.0464857,93.3137,0.00913402,0.250122,True,55.0|274,719
8|719|sample|7|274,1316.65,1.03456,0.0464888,93.3138,0.00913407,0.250121,1316.65,1.03456,0.0464888,93.3137,0.00913402,0.250122,True,32.0|274,719
8|719|sample|8|274,1316.65,1.03456,0.0464888,93.3138,0.00913407,0.250121,1316.65,1.03456,0.0464888,93.3137,0.00913402,0.250122,True,32.0|274,719
8|719|sample|9|274,1316.65,1.03456,0.0464888,93.3138,0.00913407,0.250121,1316.65,1.03456,0.0464888,93.3137,0.00913402,0.250122,True,32.0|274,719
8|719|vc|1|2|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|vc|2|2|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|vc|3|2|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|vc|4|2|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|vc|5|2|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|vc|6|2|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|vc|7|2|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|719|vc|8|2|274,1316.65,1.82174,0.0464963,93.315,0.00913407,0.250121,1316.65,1.82174,0.0464963,93.315,0.00913402,0.250122,False,69.0|274,719
8|488|cc|1|1|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|cc|2|1|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|cc|3|1|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|cc|4|1|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|cc|5|1|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|cc|6|1|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|cc|7|1|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|cc|8|1|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|sample|10|322,1316.65,2.84171,0.0464868,93.3138,0.069159,0.0451147,1316.65,2.84171,0.0464868,93.3137,0.0691593,0.0451154,True,32.0|322,488
8|488|sample|11|322,1316.65,1.13482,0.0430479,93.3138,0.069159,0.0451147,1316.65,1.13482,0.0430479,93.3137,0.0691593,0.0451154,True,22.0|322,488
8|488|sample|12|322,1316.65,1.13482,0.0430479,93.3138,0.069159,0.0451147,1316.65,1.13482,0.0430479,93.3137,0.0691593,0.0451154,True,22.0|322,488
8|488|sample|3|322,1316.65,5.30776,0.0464898,93.3138,0.069159,0.0451147,1316.65,5.30776,0.0464898,93.3137,0.0691593,0.0451154,True,55.0|322,488
8|488|sample|4|322,1316.65,5.30776,0.0464898,93.3138,0.069159,0.0451147,1316.65,5.30776,0.0464898,93.3137,0.0691593,0.0451154,True,55.0|322,488
8|488|sample|5|322,1316.65,5.30776,0.0464898,93.3138,0.069159,0.0451147,1316.65,5.30776,0.0464898,93.3137,0.0691593,0.0451154,True,55.0|322,488
8|488|sample|6|322,1316.65,5.30776,0.0464898,93.3138,0.069159,0.0451147,1316.65,5.30776,0.0464898,93.3137,0.0691593,0.0451154,True,55.0|322,488
8|488|sample|7|322,1316.65,2.84171,0.0464868,93.3138,0.069159,0.0451147,1316.65,2.84171,0.0464868,93.3137,0.0691593,0.0451154,True,32.0|322,488
8|488|sample|8|322,1316.65,2.84171,0.0464868,93.3138,0.069159,0.0451147,1316.65,2.84171,0.0464868,93.3137,0.0691593,0.0451154,True,32.0|322,488
8|488|sample|9|322,1316.65,2.84171,0.0464868,93.3138,0.069159,0.0451147,1316.65,2.84171,0.0464868,93.3137,0.0691593,0.0451154,True,32.0|322,488
8|488|vc|1|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|vc|2|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|vc|3|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|vc|4|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|vc|5|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|vc|6|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|vc|7|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|vc|8|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|847|cc|1|1|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|2|1|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|3|1|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|4|1|69,1316.65,0.868666,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|5|1|69,1316.65,0.868667,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|6|1|69,1316.65,0.868666,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|7|1|69,1316.65,0.868666,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|8|1|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|sample|10|69,1316.65,0.833203,0.0464877,93.3138,0.0691594,0.250107,1316.65,0.833202,0.0464877,93.3137,0.0691597,0.250108,True,32.0|69,847
