rep,id,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,-15.2674,0,1.79479e-06,-0.0361601,0,0,False,69.0|162,84
1,8|84|cc|2|1|162,1.28784,0,1.46074e-06,-0.000948858,0,0,False,69.0|162,84
1,8|84|cc|3|1|162,13.8811,0,-4.923e-07,0.0044859,0,0,False,69.0|162,84
1,8|84|cc|4|1|162,-1.45203,0,-7.29219e-07,-0.0771379,0,0,False,69.0|162,84
1,8|84|cc|5|1|162,7.76132,0,-1.54898e-05,-0.131777,0,0,False,69.0|162,84
1,8|84|cc|6|1|162,-15.4056,0,1.68082e-05,-0.00146665,0,0,False,69.0|162,84
1,8|84|cc|7|1|162,-14.335,0,1.34472e-05,0.0358726,0,0,False,69.0|162,84
1,8|84|cc|8|1|162,2.97876,0,9.11436e-06,-0.0299521,0,0,False,69.0|162,84
1,8|84|sample|10|162,-6.55071,0,-1.36919e-05,-0.0679421,0,0,True,32.0|162,84
1,8|84|sample|11|162,-8.04525,0,2.79124e-05,-0.0722312,0,0,True,22.0|162,84
1,8|84|sample|12|162,2.13133,0,4.0012e-06,0.108244,0,0,True,22.0|162,84
1,8|84|sample|3|162,-0.0924998,0,-3.03497e-06,-0.204902,0,0,True,55.0|162,84
1,8|84|sample|4|162,0.665351,0,1.48467e-05,0.123156,0,0,True,55.0|162,84
1,8|84|sample|5|162,5.93861,0,9.7936e-06,0.0640725,0,0,True,55.0|162,84
1,8|84|sample|6|162,4.34464,0,-1.14142e-05,0.114864,0,0,True,55.0|162,84
1,8|84|sample|7|162,-7.52901,0,4.62771e-06,0.0275702,0,0,True,32.0|162,84
1,8|84|sample|8|162,10.5314,0,4.08089e-06,-0.00616053,0,0,True,32.0|162,84
1,8|84|sample|9|162,-19.5167,0,-3.53626e-06,-0.150432,0,0,True,32.0|162,84
1,8|84|vc|1|2|162,3.37948,0,-3.97224e-06,0.0174092,0,0,False,69.0|162,84
1,8|84|vc|2|2|162,4.43926,0,1.0539e-05,0.110359,0,0,False,69.0|162,84
1,8|84|vc|3|2|162,6.13257,0,-4.93825e-06,-0.070495,0,0,False,69.0|162,84
1,8|84|vc|4|2|162,7.57893,0,1.88945e-05,-0.00247883,0,0,False,69.0|162,84
1,8|84|vc|5|2|162,-9.83119,0,3.36204e-06,0.121736,0,0,False,69.0|162,84
1,8|84|vc|6|2|162,-3.19415,0,2.05043e-05,-0.0133637,0,0,False,69.0|162,84
1,8|84|vc|7|2|162,-0.428517,0,-2.5711e-06,0.070411,0,0,False,69.0|162,84
1,8|84|vc|8|2|162,-5.30886,0,-6.76862e-08,-0.0555285,0,0,False,69.0|162,84
1,8|719|cc|1|1|274,-5.92995,0,-1.54103e-06,0.0335655,0,0,False,69.0|274,719
1,8|719|cc|2|1|274,6.58392,0,2.72424e-06,0.0167911,0,0,False,69.0|274,719
1,8|719|cc|3|1|274,-2.13985,0,-2.08575e-05,0.0624909,0,0,False,69.0|274,719
1,8|719|cc|4|1|274,12.649,0,9.20436e-07,0.10142,0,0,False,69.0|274,719
1,8|719|cc|5|1|274,-15.9825,0,6.18221e-07,-0.042794,0,0,False,69.0|274,719
1,8|719|cc|6|1|274,-9.00118,0,-7.23433e-06,-0.0238339,0,0,False,69.0|274,719
1,8|719|cc|7|1|274,-6.86031,0,-8.60811e-06,0.0438693,0,0,False,69.0|274,719
1,8|719|cc|8|1|274,-1.07902,0,1.36951e-05,0.0221891,0,0,False,69.0|274,719
1,8|719|sample|10|274,4.68815,0,5.42831e-06,0.0475101,0,0,True,32.0|274,719
