parameter,value,CV
L_pop,1034.91148759568,
beta_L_goes_down_True,8.20718819137012e-10,
m_pop,1.21338205751903e-05,
beta_m_goes_down_True,2.34906149893994,
e_pop,0.237948209295429,
beta_e_goes_down_True,0.299388217043003,
s_pop,15.70114169771,
beta_s_goes_down_True,2.48706583964637,
beta_s_mab_virus_55_0_65,0.533167945973045,
beta_s_mab_virus_55_0_69,-2.8468490544381,
beta_s_mab_virus_55_0_319,0.443390877172636,
beta_s_mab_virus_55_0_162,2.11528402622181,
beta_s_mab_virus_55_0_218,0.556545759996928,
beta_s_mab_virus_55_0_174,1.91451036480116,
beta_s_mab_virus_55_0_322,-3.01232347011535,
beta_s_mab_virus_55_0_292,-3.29964352675524,
beta_s_mab_virus_55_0_274,1.2951744030949,
beta_s_mab_virus_55_0_103,-2.46957344861552,
beta_s_mab_virus_55_0_276,-3.04013908598963,
beta_s_mab_virus_32_0_65,-0.854381864513611,
beta_s_mab_virus_32_0_69,3.28589460496279,
beta_s_mab_virus_32_0_319,2.59384587032822,
beta_s_mab_virus_32_0_162,-2.10366647218547,
beta_s_mab_virus_32_0_218,1.3241243608609,
beta_s_mab_virus_32_0_174,3.33268907293037,
beta_s_mab_virus_32_0_322,-1.64895044761144,
beta_s_mab_virus_32_0_292,1.47246744491197,
beta_s_mab_virus_32_0_274,-0.41285903369632,
beta_s_mab_virus_32_0_103,0.767794010053368,
beta_s_mab_virus_32_0_276,-1.26932912971225,
beta_s_mab_virus_22_0_65,-0.547685019120854,
beta_s_mab_virus_22_0_69,-2.92745595676723,
beta_s_mab_virus_22_0_319,1.88245281871347,
beta_s_mab_virus_22_0_162,-0.846419377090292,
beta_s_mab_virus_22_0_218,0.833350728340226,
beta_s_mab_virus_22_0_174,0.242559449953613,
beta_s_mab_virus_22_0_322,-1.59510554890623,
beta_s_mab_virus_22_0_292,2.7043814960033,
beta_s_mab_virus_22_0_274,-2.80823189932337,
beta_s_mab_virus_22_0_103,2.11348474449598,
beta_s_mab_virus_22_0_276,-2.82117610037593,
beta_s_mab_virus_69_0_65,0.678112818962702,
beta_s_mab_virus_69_0_69,-0.990787726574903,
beta_s_mab_virus_69_0_319,0.33480601723001,
beta_s_mab_virus_69_0_162,0.517108179505719,
beta_s_mab_virus_69_0_218,-0.993030411813552,
beta_s_mab_virus_69_0_174,0.533493876498547,
beta_s_mab_virus_69_0_322,-1.73079640447757,
beta_s_mab_virus_69_0_292,2.15268707244553,
beta_s_mab_virus_69_0_274,-0.0839421255127544,
beta_s_mab_virus_69_0_103,-0.0396629456589448,
beta_s_mab_virus_69_0_276,-0.111320760941989,
alpha_pop,901.112972167194,
beta_alpha_run_id_84,-8.6143957785184e-08,
beta_alpha_run_id_719,2.65836375857889e-08,
beta_alpha_run_id_488,2.02507492433067e-07,
beta_alpha_run_id_847,-0.000124782021065208,
beta_alpha_run_id_474,1.21894070573123e-06,
beta_alpha_run_id_462,7.98860247907103e-07,
beta_alpha_run_id_75,-8.13604603373691e-06,
beta_alpha_run_id_291,8.88125446293584e-05,
beta_alpha_run_id_77,-0.000473431468435299,
beta_alpha_run_id_322,-2.62018128849596e-06,
beta_alpha_run_id_963,7.3513945906121e-06,
beta_alpha_run_id_1241,1.100636970438e-05,
beta_alpha_run_id_1056,2.52968869161343e-05,
beta_alpha_run_id_1159,-8.22896588589016e-05,
beta_alpha_run_id_1017,1.47689114521403e-06,
beta_alpha_run_id_1197,1.3235228005289e-07,
beta_alpha_run_id_745,4.34306299277181e-06,
beta_alpha_run_id_1043,-5.67018943205905e-08,
beta_alpha_run_id_1260,-9.31642443424471e-05,
beta_alpha_run_id_1042,-3.66447270542482e-06,
beta_alpha_run_id_863,-5.28524277418048e-09,
beta_alpha_run_id_152,-6.93654288980194e-06,
k_pop,9.21651293304385,
beta_k_run_id_84,-6.87884925611063e-06,
beta_k_run_id_719,13.603685116623,
beta_k_run_id_488,0.33003565596219,
beta_k_run_id_847,1.62920633331368e-06,
beta_k_run_id_474,1.51143292665493,
beta_k_run_id_462,1.76102111747127e-07,
beta_k_run_id_75,-7.99212622798015e-08,
beta_k_run_id_291,-2.75765138921647e-06,
beta_k_run_id_77,-9.98844502909748e-06,
beta_k_run_id_322,-1.3205681938029e-05,
beta_k_run_id_963,-5.03700209873067e-06,
beta_k_run_id_1241,5.805002192121e-09,
beta_k_run_id_1056,1.41392078393898e-07,
beta_k_run_id_1159,2.24724505881001e-05,
beta_k_run_id_1017,-3.37421351555419e-06,
beta_k_run_id_1197,0.000338188158331168,
beta_k_run_id_745,5.73852751391e-08,
beta_k_run_id_1043,-0.000476292606463123,
beta_k_run_id_1260,3.29351098055907e-05,
beta_k_run_id_1042,-3.44189926641812e-05,
beta_k_run_id_863,-1.93984188123606e-06,
beta_k_run_id_152,-4.18781755463093e-07,
omega_e,1.89245918311544,590.964146069603
omega_s,6.20993851542203e-06,0.000620994160324796
a,568.129995508122,
b,0.23620432466442,
