parameter,value,CV
L_goes_down_False,299.217478943144,
L_goes_down_True,299.21747884279,
m_goes_down_False,-1.96361294343876e-11,
m_goes_down_True,0.0700405194016317,
e_goes_down_False,1.6120236471403e-06,
e_goes_down_True,1.61199400350942e-06,
s_goes_down_False,26.2288835590007,
s_goes_down_True,26.2288835589911,
alpha_run_id_411,308.648466005238,
alpha_run_id_84,308.648466005162,
alpha_run_id_719,308.648468445514,
alpha_run_id_488,308.648453752133,
alpha_run_id_847,308.648466083481,
alpha_run_id_474,308.648466005238,
alpha_run_id_462,308.648466027604,
alpha_run_id_75,308.648465651102,
alpha_run_id_291,308.648466009753,
alpha_run_id_77,308.648150812405,
alpha_run_id_322,308.648485344837,
alpha_run_id_963,308.650050520907,
alpha_run_id_1241,308.648465069208,
alpha_run_id_1056,308.648465813518,
alpha_run_id_1159,-259.007464869873,
alpha_run_id_1017,308.648466670367,
alpha_run_id_1197,308.648466006299,
alpha_run_id_745,308.648466004388,
alpha_run_id_1043,308.648466005238,
alpha_run_id_1260,308.648465998737,
alpha_run_id_1042,308.648466003253,
alpha_run_id_863,308.648466008957,
alpha_run_id_152,308.648466005238,
k_run_id_411,6.92642359411408,
k_run_id_84,6.92642359412792,
k_run_id_719,7.25559122068198,
k_run_id_488,6.92642359374085,
k_run_id_847,8.0786389758268,
k_run_id_474,8.07552721201343,
k_run_id_462,7.2448949030582,
k_run_id_75,6.92642501988478,
k_run_id_291,6.74662294587585,
k_run_id_77,6.92642361639985,
k_run_id_322,6.92642343617997,
k_run_id_963,6.22880288736195,
k_run_id_1241,6.926423541362,
k_run_id_1056,6.92642359396218,
k_run_id_1159,6.92642354376317,
k_run_id_1017,5.90798465894812,
k_run_id_1197,6.92642359407136,
k_run_id_745,6.92642359411455,
k_run_id_1043,6.92642357557023,
k_run_id_1260,6.9264235941934,
k_run_id_1042,6.92642358989746,
k_run_id_863,6.92642339429643,
k_run_id_152,16.4969324589471,
a,640.635304255616,
b,170.640244648968,
