rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,790.603,1.3572,0.011773,9.34287,3.3904e-06,-7.0377e-07,False,69.0|162,84
1,8|84|cc|2|1|162,790.603,1.33268,0.0117731,9.34274,3.3904e-06,-7.0377e-07,False,69.0|162,84
1,8|84|cc|3|1|162,790.603,1.35183,0.0117731,9.34278,3.3904e-06,-7.0377e-07,False,69.0|162,84
1,8|84|cc|4|1|162,790.603,1.3354,0.0117731,9.34281,3.3904e-06,-7.0377e-07,False,69.0|162,84
1,8|84|cc|5|1|162,790.603,1.37416,0.0117731,9.3428,3.3904e-06,-7.0377e-07,False,69.0|162,84
1,8|84|cc|6|1|162,790.603,1.49816,0.0117732,9.34283,3.3904e-06,-7.0377e-07,False,69.0|162,84
1,8|84|cc|7|1|162,790.603,1.42868,0.0117731,9.34282,3.3904e-06,-7.0377e-07,False,69.0|162,84
1,8|84|cc|8|1|162,790.603,1.41707,0.0117731,9.3428,3.3904e-06,-7.0377e-07,False,69.0|162,84
1,8|84|sample|10|162,790.603,0.789298,0.0496615,17.4039,3.3904e-06,-7.0377e-07,True,32.0|162,84
1,8|84|sample|11|162,790.603,0.759409,0.0295295,19.0116,3.3904e-06,-7.0377e-07,True,22.0|162,84
1,8|84|sample|12|162,790.603,0.664572,0.0295294,19.0116,3.3904e-06,-7.0377e-07,True,22.0|162,84
1,8|84|sample|3|162,790.603,0.58885,0.047398,3.98828,3.3904e-06,-7.0377e-07,True,55.0|162,84
1,8|84|sample|4|162,790.603,0.553608,0.0473979,3.98828,3.3904e-06,-7.0377e-07,True,55.0|162,84
1,8|84|sample|5|162,790.603,0.534052,0.0473978,3.98827,3.3904e-06,-7.0377e-07,True,55.0|162,84
1,8|84|sample|6|162,790.603,0.581786,0.0473978,3.98826,3.3904e-06,-7.0377e-07,True,55.0|162,84
1,8|84|sample|7|162,790.603,0.812771,0.0496612,17.4039,3.3904e-06,-7.0377e-07,True,32.0|162,84
