parameter,value,CV
L_goes_down_False,1749.05825211217,
L_goes_down_True,1749.05825241599,
m_goes_down_False_mab_virus_70.0|274,1.54230196841501,
m_goes_down_False_mab_virus_55.0|65,1.07679660608705,
m_goes_down_False_mab_virus_55.0|69,5.29531369434878,
m_goes_down_False_mab_virus_55.0|319,0.792354318219198,
m_goes_down_False_mab_virus_55.0|162,2.37965958160128,
m_goes_down_False_mab_virus_55.0|218,0.876492451118353,
m_goes_down_False_mab_virus_55.0|174,0.915649855073516,
m_goes_down_False_mab_virus_55.0|322,3.29323412044651,
m_goes_down_False_mab_virus_55.0|292,5.60375345685614,
m_goes_down_False_mab_virus_55.0|274,1.96140728367654,
m_goes_down_False_mab_virus_55.0|103,1.53124698432839,
m_goes_down_False_mab_virus_55.0|276,1.74001370983297,
m_goes_down_False_mab_virus_32.0|65,1.78264973012773,
m_goes_down_False_mab_virus_32.0|69,1.13005682365621,
m_goes_down_False_mab_virus_32.0|319,0.94389848678328,
m_goes_down_False_mab_virus_32.0|162,1.48734226548436,
m_goes_down_False_mab_virus_32.0|218,1.14557421842157,
m_goes_down_False_mab_virus_32.0|174,0.974699198380655,
m_goes_down_False_mab_virus_32.0|322,2.06657811667624,
m_goes_down_False_mab_virus_32.0|292,1.03786664912221,
m_goes_down_False_mab_virus_32.0|274,1.25827948631406,
m_goes_down_False_mab_virus_32.0|103,1.0068032573304,
m_goes_down_False_mab_virus_32.0|276,0.987318274136521,
m_goes_down_False_mab_virus_22.0|65,-4.29257105986419,
m_goes_down_False_mab_virus_22.0|69,1.49115434402529,
m_goes_down_False_mab_virus_22.0|319,1.1460619796437,
m_goes_down_False_mab_virus_22.0|162,1.53478045588308,
m_goes_down_False_mab_virus_22.0|218,1.06146949870341,
m_goes_down_False_mab_virus_22.0|174,1.0098828777322,
m_goes_down_False_mab_virus_22.0|322,1.34233664067727,
m_goes_down_False_mab_virus_22.0|292,1.4416233100395,
m_goes_down_False_mab_virus_22.0|274,1.24663750656553,
m_goes_down_False_mab_virus_22.0|103,1.02311273969397,
m_goes_down_False_mab_virus_22.0|276,1.23195108587038,
m_goes_down_False_mab_virus_69.0|65,0.571904952425324,
m_goes_down_False_mab_virus_69.0|69,1.52416173463443,
m_goes_down_False_mab_virus_69.0|319,2.00208972455804,
m_goes_down_False_mab_virus_69.0|162,2.01614367040605,
m_goes_down_False_mab_virus_69.0|218,1.62800622021938,
m_goes_down_False_mab_virus_69.0|174,1.04474486013177,
m_goes_down_False_mab_virus_69.0|322,1.12176223410696,
m_goes_down_False_mab_virus_69.0|292,2.61344079769944,
m_goes_down_False_mab_virus_69.0|274,1.99158199926179,
m_goes_down_False_mab_virus_69.0|103,2.48626713673139,
m_goes_down_False_mab_virus_69.0|276,1.6779920774026,
m_goes_down_True_mab_virus_70.0|274,1.37183018181747,
m_goes_down_True_mab_virus_55.0|65,0.906324819489512,
m_goes_down_True_mab_virus_55.0|69,5.12484190775124,
m_goes_down_True_mab_virus_55.0|319,0.621882531621657,
m_goes_down_True_mab_virus_55.0|162,2.20918779500374,
m_goes_down_True_mab_virus_55.0|218,0.706020664520812,
m_goes_down_True_mab_virus_55.0|174,0.745178068475976,
m_goes_down_True_mab_virus_55.0|322,3.12276233384897,
m_goes_down_True_mab_virus_55.0|292,5.4332816702586,
m_goes_down_True_mab_virus_55.0|274,1.790935497079,
m_goes_down_True_mab_virus_55.0|103,1.36077519773085,
m_goes_down_True_mab_virus_55.0|276,1.56954192323543,
m_goes_down_True_mab_virus_32.0|65,1.61217794353019,
m_goes_down_True_mab_virus_32.0|69,0.959585037058674,
m_goes_down_True_mab_virus_32.0|319,0.77342670018574,
m_goes_down_True_mab_virus_32.0|162,1.31687047888682,
m_goes_down_True_mab_virus_32.0|218,0.975102431824028,
m_goes_down_True_mab_virus_32.0|174,0.804227411783115,
m_goes_down_True_mab_virus_32.0|322,1.8961063300787,
m_goes_down_True_mab_virus_32.0|292,0.867394862524667,
m_goes_down_True_mab_virus_32.0|274,1.08780769971652,
m_goes_down_True_mab_virus_32.0|103,0.836331470732857,
m_goes_down_True_mab_virus_32.0|276,0.81684648753898,
m_goes_down_True_mab_virus_22.0|65,-4.46304284646173,
m_goes_down_True_mab_virus_22.0|69,1.32068255742775,
m_goes_down_True_mab_virus_22.0|319,0.975590193046164,
m_goes_down_True_mab_virus_22.0|162,1.36430866928554,
m_goes_down_True_mab_virus_22.0|218,0.890997712105865,
m_goes_down_True_mab_virus_22.0|174,0.839411091134655,
m_goes_down_True_mab_virus_22.0|322,1.17186485407973,
m_goes_down_True_mab_virus_22.0|292,1.27115152344196,
m_goes_down_True_mab_virus_22.0|274,1.07616571996799,
m_goes_down_True_mab_virus_22.0|103,0.852640953096428,
m_goes_down_True_mab_virus_22.0|276,1.06147929927284,
m_goes_down_True_mab_virus_69.0|65,0.401433165827784,
m_goes_down_True_mab_virus_69.0|69,1.35368994803689,
m_goes_down_True_mab_virus_69.0|319,1.8316179379605,
m_goes_down_True_mab_virus_69.0|162,1.84567188380851,
m_goes_down_True_mab_virus_69.0|218,1.45753443362184,
m_goes_down_True_mab_virus_69.0|174,0.874273073534225,
m_goes_down_True_mab_virus_69.0|322,0.951290447509415,
m_goes_down_True_mab_virus_69.0|292,2.4429690111019,
m_goes_down_True_mab_virus_69.0|274,1.82111021266425,
m_goes_down_True_mab_virus_69.0|103,2.31579535013385,
m_goes_down_True_mab_virus_69.0|276,1.50752029080506,
e_goes_down_False,0.006589034697792,
e_goes_down_True,0.0065891905241127,
s_goes_down_False,12.2891665041668,
s_goes_down_True,1127.88320379072,
alpha_run_id_411,0.0428162932224155,
alpha_run_id_84,0.0428162819509602,
alpha_run_id_719,0.0428162965989997,
alpha_run_id_488,0.0428165772691487,
alpha_run_id_847,0.0428162335768772,
alpha_run_id_474,0.0428177591127963,
alpha_run_id_462,0.0428169667889513,
alpha_run_id_75,-0.0477718132696896,
alpha_run_id_291,0.0428162939793993,
alpha_run_id_77,0.0428163081611369,
alpha_run_id_322,-0.0082667166455549,
alpha_run_id_963,0.0428165644340574,
alpha_run_id_1241,0.0428007341943117,
alpha_run_id_1056,0.0428166880202552,
alpha_run_id_1159,0.0428151616625619,
alpha_run_id_1017,0.0428158627899412,
alpha_run_id_1197,0.0428198644740526,
alpha_run_id_745,0.0428162995943665,
alpha_run_id_1043,0.0428165169721794,
alpha_run_id_1260,0.0428162882752227,
alpha_run_id_1042,0.0428163218694964,
alpha_run_id_863,0.0428163001403953,
alpha_run_id_152,0.0428159407877649,
k_run_id_411,2.67824873422644e-05,
k_run_id_84,3.2288348996934e-05,
k_run_id_719,4.27119267528321e-06,
k_run_id_488,-0.143848101634091,
k_run_id_847,2.67868390417483e-05,
k_run_id_474,2.68187740582674e-05,
k_run_id_462,-0.222502131949971,
k_run_id_75,2.59064091695554e-05,
k_run_id_291,0.0001027590447229,
k_run_id_77,-0.278308387404728,
k_run_id_322,-2.99039083356448e-05,
k_run_id_963,2.67745198070841e-05,
k_run_id_1241,1.72861948325125e-05,
