rep,id,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,0,2.46209e-06,0,0.220837,0,0,False,69.0|162,84
1,8|84|cc|2|1|162,0,-2.82026e-06,0,0.00014008,0,0,False,69.0|162,84
1,8|84|cc|3|1|162,0,-1.35148e-05,0,-0.189665,0,0,False,69.0|162,84
1,8|84|cc|4|1|162,0,1.37141e-06,0,0.177527,0,0,False,69.0|162,84
1,8|84|cc|5|1|162,0,8.76877e-06,0,-0.00781602,0,0,False,69.0|162,84
1,8|84|cc|6|1|162,0,5.05958e-06,0,0.14538,0,0,False,69.0|162,84
1,8|84|cc|7|1|162,0,7.65894e-06,0,0.0938729,0,0,False,69.0|162,84
1,8|84|cc|8|1|162,0,-9.95018e-06,0,0.08551,0,0,False,69.0|162,84
1,8|84|sample|10|162,0,-3.30989e-06,0,-0.122084,0,0,True,32.0|162,84
1,8|84|sample|11|162,0,-1.67173e-06,0,0.133622,0,0,True,22.0|162,84
1,8|84|sample|12|162,0,-9.27914e-07,0,0.124455,0,0,True,22.0|162,84
1,8|84|sample|3|162,0,-1.30975e-06,0,-0.0730546,0,0,True,55.0|162,84
1,8|84|sample|4|162,0,3.18797e-06,0,0.178104,0,0,True,55.0|162,84
1,8|84|sample|5|162,0,-1.19348e-05,0,-0.249722,0,0,True,55.0|162,84
1,8|84|sample|6|162,0,6.75184e-06,0,0.0969156,0,0,True,55.0|162,84
1,8|84|sample|7|162,0,-6.55575e-06,0,-0.0264635,0,0,True,32.0|162,84
1,8|84|sample|8|162,0,2.34604e-06,0,-0.0286795,0,0,True,32.0|162,84
1,8|84|sample|9|162,0,-2.88652e-07,0,0.102014,0,0,True,32.0|162,84
1,8|84|vc|1|2|162,0,-1.33681e-05,0,-0.148472,0,0,False,69.0|162,84
1,8|84|vc|2|2|162,0,-1.32672e-07,0,0.00730335,0,0,False,69.0|162,84
1,8|84|vc|3|2|162,0,5.71407e-06,0,0.000225896,0,0,False,69.0|162,84
1,8|84|vc|4|2|162,0,5.28585e-06,0,-0.106743,0,0,False,69.0|162,84
1,8|84|vc|5|2|162,0,1.68914e-06,0,0.0722148,0,0,False,69.0|162,84
1,8|84|vc|6|2|162,0,1.85916e-05,0,0.0878948,0,0,False,69.0|162,84
1,8|84|vc|7|2|162,0,-4.37122e-06,0,-0.0159879,0,0,False,69.0|162,84
1,8|84|vc|8|2|162,0,-1.71875e-05,0,0.341827,0,0,False,69.0|162,84
1,8|719|cc|1|1|274,0,7.02496e-06,0,0.00982128,0,0,False,69.0|274,719
1,8|719|cc|2|1|274,0,6.57245e-06,0,0.245233,0,0,False,69.0|274,719
1,8|719|cc|3|1|274,0,1.34358e-06,0,0.100035,0,0,False,69.0|274,719
1,8|719|cc|4|1|274,0,1.61049e-05,0,0.237098,0,0,False,69.0|274,719
1,8|719|cc|5|1|274,0,-7.06908e-06,0,0.352675,0,0,False,69.0|274,719
1,8|719|cc|6|1|274,0,-5.01073e-06,0,-0.205908,0,0,False,69.0|274,719
1,8|719|cc|7|1|274,0,-6.06042e-06,0,0.0255151,0,0,False,69.0|274,719
1,8|719|cc|8|1|274,0,-1.5423e-05,0,-0.184023,0,0,False,69.0|274,719
1,8|719|sample|10|274,0,-3.41365e-06,0,0.0565502,0,0,True,32.0|274,719
1,8|719|sample|11|274,0,1.11444e-05,0,-0.0846757,0,0,True,22.0|274,719
1,8|719|sample|12|274,0,6.59036e-06,0,0.185466,0,0,True,22.0|274,719
1,8|719|sample|3|274,0,-2.15361e-06,0,-0.195951,0,0,True,55.0|274,719
1,8|719|sample|4|274,0,4.86142e-06,0,0.150431,0,0,True,55.0|274,719
1,8|719|sample|5|274,0,-3.81922e-06,0,0.0341063,0,0,True,55.0|274,719
1,8|719|sample|6|274,0,-5.3045e-07,0,0.116779,0,0,True,55.0|274,719
1,8|719|sample|7|274,0,1.87882e-06,0,-0.198807,0,0,True,32.0|274,719
1,8|719|sample|8|274,0,2.16829e-06,0,-0.0982692,0,0,True,32.0|274,719
1,8|719|sample|9|274,0,-3.1889e-06,0,-0.167608,0,0,True,32.0|274,719
1,8|719|vc|1|2|274,0,-3.94746e-06,0,-0.161531,0,0,False,69.0|274,719
1,8|719|vc|2|2|274,0,2.94189e-07,0,-0.0400896,0,0,False,69.0|274,719
1,8|719|vc|3|2|274,0,9.47234e-06,0,-0.0447974,0,0,False,69.0|274,719
