id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,0,6.39986e-07,-0.0871943,0.131869,0,0,0,8.57536e-13,-5.32852e-08,-2.85523e-07,0,0,False,69.0|162,84
8|84|cc|2|1|162,0,-4.49584e-07,0.00585675,-0.0107714,0,0,0,-3.27294e-13,-2.80116e-07,-4.23488e-07,0,0,False,69.0|162,84
8|84|cc|3|1|162,0,3.10204e-07,0.0135264,-0.118279,0,0,0,-5.12479e-13,-3.32291e-09,-1.33185e-07,0,0,False,69.0|162,84
8|84|cc|4|1|162,0,4.63474e-07,0.0821159,0.139297,0,0,0,-7.71827e-13,-2.70369e-07,-1.64841e-07,0,0,False,69.0|162,84
8|84|cc|5|1|162,0,-3.22196e-07,0.0708215,-0.0278409,0,0,0,2.13163e-14,2.38016e-07,3.94088e-07,0,0,False,69.0|162,84
8|84|cc|6|1|162,0,-1.95583e-07,-0.0127908,-0.129884,0,0,0,6.9722e-13,2.20995e-07,-3.85324e-07,0,0,False,69.0|162,84
8|84|cc|7|1|162,0,-5.5061e-08,0.05882,0.0709363,0,0,0,-1.65201e-13,1.78532e-07,-3.37409e-07,0,0,False,69.0|162,84
8|84|cc|8|1|162,0,3.44185e-07,-0.00459512,0.104723,0,0,0,2.19247e-12,7.36093e-08,-9.92106e-08,0,0,False,69.0|162,84
8|84|sample|10|162,0,1.45506e-07,-1.07441,-0.0278696,0,0,0,8.60889e-11,-0.697753,-0.253965,0,0,True,32.0|162,84
8|84|sample|11|162,0,4.84032e-07,-0.77457,-0.355455,0,0,0,-3.03357e-11,-0.534791,-0.562133,0,0,True,22.0|162,84
8|84|sample|12|162,0,-5.86371e-07,0.0746662,-0.752444,0,0,0,-1.29621e-10,0.237268,-0.874189,0,0,True,22.0|162,84
8|84|sample|3|162,0,6.94749e-07,-1.25904,-0.783926,0,0,0,1.42769e-10,-1.02616,-0.887904,0,0,True,55.0|162,84
8|84|sample|4|162,0,-2.89979e-07,-0.986396,-0.830821,0,0,0,1.02915e-10,-0.867606,-0.910139,0,0,True,55.0|162,84
8|84|sample|5|162,0,6.41135e-07,-0.0444265,-1.36102,0,0,0,6.23933e-11,0.0555034,-1.38827,0,0,True,55.0|162,84
8|84|sample|6|162,0,-5.7285e-07,-0.508514,-1.26961,0,0,0,3.04257e-11,-0.311343,-1.33472,0,0,True,55.0|162,84
8|84|sample|7|162,0,-3.88947e-07,-1.03052,-0.166687,0,0,0,1.23934e-10,-0.998549,-0.182246,0,0,True,32.0|162,84
8|84|sample|8|162,0,3.82006e-07,-0.830355,-0.243001,0,0,0,1.34239e-10,-0.868456,-0.223365,0,0,True,32.0|162,84
8|84|sample|9|162,0,-2.51521e-07,-1.17851,0.0173747,0,0,0,1.68855e-10,-0.936554,-0.119445,0,0,True,32.0|162,84
8|84|vc|1|2|162,0,-1.38069e-07,-0.0674286,-0.164196,0,0,0,-1.72662e-12,-1.32123e-07,1.13217e-07,0,0,False,69.0|162,84
8|84|vc|2|2|162,0,3.61254e-07,0.0251624,0.0376182,0,0,0,4.84501e-13,-1.73112e-07,4.52143e-07,0,0,False,69.0|162,84
8|84|vc|3|2|162,0,2.63018e-07,0.107334,0.0247105,0,0,0,1.23723e-12,-1.76793e-07,6.07387e-07,0,0,False,69.0|162,84
8|84|vc|4|2|162,0,-1.69224e-07,0.0157649,0.00526401,0,0,0,4.73399e-13,-3.72631e-07,1.87309e-07,0,0,False,69.0|162,84
8|84|vc|5|2|162,0,2.68054e-07,0.000322426,-0.0727314,0,0,0,-1.13909e-12,1.1132e-07,-7.91148e-08,0,0,False,69.0|162,84
8|84|vc|6|2|162,0,4.99823e-08,-0.0480863,-0.167594,0,0,0,-7.2875e-13,1.58496e-07,1.34633e-07,0,0,False,69.0|162,84
8|84|vc|7|2|162,0,3.49343e-07,-0.0425042,0.206305,0,0,0,1.56275e-12,4.36509e-07,-1.86996e-07,0,0,False,69.0|162,84
8|84|vc|8|2|162,0,1.32544e-08,0.0835242,-0.213965,0,0,0,6.99885e-13,2.08992e-07,5.22264e-08,0,0,False,69.0|162,84
8|719|cc|1|1|274,0,2.67393e-08,-0.0206446,0.0437148,0,0,0,4.59632e-14,-2.47955e-08,4.64882e-07,0,0,False,69.0|274,719
8|719|cc|2|1|274,0,2.10237e-08,0.00695801,-0.0644033,0,0,0,-6.41709e-13,-2.90387e-08,-2.94268e-07,0,0,False,69.0|274,719
8|719|cc|3|1|274,0,-5.43696e-08,0.0464494,-0.15468,0,0,0,-2.48024e-13,1.1793e-07,-5.7631e-07,0,0,False,69.0|274,719
8|719|cc|4|1|274,0,-2.87008e-08,-0.0316887,0.2219,0,0,0,-5.39124e-13,3.20662e-07,-4.65494e-07,0,0,False,69.0|274,719
8|719|cc|5|1|274,0,2.36885e-07,-0.00668711,-0.0369746,0,0,0,1.2137e-12,-1.80996e-07,-8.85523e-11,0,0,False,69.0|274,719
8|719|cc|6|1|274,0,-6.47434e-08,-0.055076,0.00857726,0,0,0,2.19824e-13,3.37008e-07,1.27278e-07,0,0,False,69.0|274,719
8|719|cc|7|1|274,0,-4.55289e-07,0.0460882,-0.150028,0,0,0,3.42393e-13,2.85218e-07,1.42339e-07,0,0,False,69.0|274,719
8|719|cc|8|1|274,0,-8.98597e-08,0.0166035,0.0147211,0,0,0,-3.83693e-13,6.77975e-10,-4.54514e-07,0,0,False,69.0|274,719
8|719|sample|10|274,0,1.55498e-07,-0.415383,0.153915,0,0,0,6.28699e-11,-0.230935,0.0348474,0,0,True,32.0|274,719
8|719|sample|11|274,0,8.17702e-07,0.106556,0.0831953,0,0,0,1.67422e-13,0.287844,-0.0859642,0,0,True,22.0|274,719
8|719|sample|12|274,0,-2.57798e-07,-0.0225302,0.275791,0,0,0,1.83105e-11,0.0628404,0.196832,0,0,True,22.0|274,719
8|719|sample|3|274,0,4.23295e-07,0.254631,-2.55335,0,0,0,-8.85292e-12,0.17624,-2.50065,0,0,True,55.0|274,719
8|719|sample|4|274,0,-8.27467e-07,0.0319336,-2.44487,0,0,0,-4.63496e-12,0.170217,-2.51904,0,0,True,55.0|274,719
8|719|sample|5|274,0,4.42115e-07,-0.14084,-2.31891,0,0,0,-8.20188e-12,0.0185016,-2.40637,0,0,True,55.0|274,719
8|719|sample|6|274,0,1.50447e-07,-0.303543,-2.09058,0,0,0,-1.13043e-11,-0.140743,-2.22425,0,0,True,55.0|274,719
8|719|sample|7|274,0,4.42333e-07,-0.08454,-0.0677404,0,0,0,1.17771e-11,-0.0242069,-0.111199,0,0,True,32.0|274,719
8|719|sample|8|274,0,1.16035e-06,-0.214866,0.0265196,0,0,0,-2.52331e-12,0.0276412,-0.134019,0,0,True,32.0|274,719
8|719|sample|9|274,0,-4.95649e-07,-0.44059,0.202822,0,0,0,4.93359e-11,-0.216627,0.0391723,0,0,True,32.0|274,719
8|719|vc|1|2|274,0,-2.06145e-07,-0.140931,0.0562453,0,0,0,8.08242e-14,-2.01018e-07,-2.07864e-07,0,0,False,69.0|274,719
8|719|vc|2|2|274,0,1.7845e-07,-0.102607,-0.115512,0,0,0,1.08047e-12,1.5429e-07,2.90035e-07,0,0,False,69.0|274,719
8|719|vc|3|2|274,0,-2.67286e-07,0.0620131,-0.120471,0,0,0,4.65628e-13,3.52957e-07,-1.19457e-07,0,0,False,69.0|274,719
8|719|vc|4|2|274,0,1.47447e-07,-0.00264332,0.126776,0,0,0,-1.61648e-13,2.15481e-07,-5.78798e-07,0,0,False,69.0|274,719
8|719|vc|5|2|274,0,2.60279e-07,0.0695902,-0.0294682,0,0,0,8.54872e-13,7.9468e-08,-3.84175e-07,0,0,False,69.0|274,719
