id,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,746.093,2.34763,0.0120791,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|cc|2|1|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|cc|3|1|162,746.093,2.34763,0.0120791,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|cc|4|1|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|cc|5|1|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|cc|6|1|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|cc|7|1|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|cc|8|1|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|sample|10|162,746.093,0.855818,0.0201836,41.8303,0.00506282,3.47415e-07,746.093,0.855826,0.0201835,41.8303,0.00506283,3.47426e-07,True,32.0|162,84
8|84|sample|11|162,746.093,0.820591,0.0695862,11.3749,0.00506282,3.47415e-07,746.093,0.820591,0.0695862,11.3749,0.00506283,3.47426e-07,True,22.0|162,84
8|84|sample|12|162,746.093,0.820591,0.0695865,11.3749,0.00506282,3.47415e-07,746.093,0.820591,0.0695862,11.3749,0.00506283,3.47426e-07,True,22.0|162,84
8|84|sample|3|162,746.093,0.579967,0.081352,3.0396,0.00506282,3.47415e-07,746.093,0.579967,0.0813514,3.0396,0.00506283,3.47426e-07,True,55.0|162,84
8|84|sample|4|162,746.093,0.579966,0.081352,3.0396,0.00506282,3.47415e-07,746.093,0.579967,0.0813514,3.0396,0.00506283,3.47426e-07,True,55.0|162,84
8|84|sample|5|162,746.093,0.579972,0.0813519,3.0396,0.00506282,3.47415e-07,746.093,0.579967,0.0813514,3.0396,0.00506283,3.47426e-07,True,55.0|162,84
8|84|sample|6|162,746.093,0.579969,0.0813519,3.0396,0.00506282,3.47415e-07,746.093,0.579967,0.0813514,3.0396,0.00506283,3.47426e-07,True,55.0|162,84
8|84|sample|7|162,746.093,0.855818,0.0201836,41.8304,0.00506282,3.47415e-07,746.093,0.855826,0.0201835,41.8303,0.00506283,3.47426e-07,True,32.0|162,84
8|84|sample|8|162,746.093,0.855823,0.0201836,41.8304,0.00506282,3.47415e-07,746.093,0.855826,0.0201835,41.8303,0.00506283,3.47426e-07,True,32.0|162,84
8|84|sample|9|162,746.093,0.855818,0.0201836,41.8304,0.00506282,3.47415e-07,746.093,0.855826,0.0201835,41.8303,0.00506283,3.47426e-07,True,32.0|162,84
8|84|vc|1|2|162,746.093,2.34763,0.0120791,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|vc|2|2|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|vc|3|2|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|vc|4|2|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|vc|5|2|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|vc|6|2|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|vc|7|2|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|84|vc|8|2|162,746.093,2.34763,0.0120792,10.3932,0.00506282,3.47415e-07,746.093,2.34763,0.0120792,10.3932,0.00506283,3.47426e-07,False,69.0|162,84
8|719|cc|1|1|274,746.093,1.67809,0.0272301,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|cc|2|1|274,746.093,1.67809,0.0272301,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|cc|3|1|274,746.093,1.6781,0.02723,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|cc|4|1|274,746.093,1.6781,0.02723,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|cc|5|1|274,746.093,1.6781,0.0272301,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|cc|6|1|274,746.093,1.67809,0.02723,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|cc|7|1|274,746.093,1.67809,0.0272301,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|cc|8|1|274,746.093,1.6781,0.02723,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|sample|10|274,746.093,0.910896,0.00619695,295.012,0.00506281,-6.6625e-05,746.093,0.910898,0.00619695,295.012,0.00506283,-6.6627e-05,True,32.0|274,719
8|719|sample|11|274,746.093,0.876951,0.10126,30.2787,0.00506281,-6.6625e-05,746.093,0.876958,0.10126,30.2786,0.00506283,-6.6627e-05,True,22.0|274,719
8|719|sample|12|274,746.093,0.876949,0.10126,30.2787,0.00506281,-6.6625e-05,746.093,0.876958,0.10126,30.2786,0.00506283,-6.6627e-05,True,22.0|274,719
8|719|sample|3|274,746.093,0.995104,0.324213,2.28118,0.00506281,-6.6625e-05,746.093,0.995095,0.324212,2.28118,0.00506283,-6.6627e-05,True,55.0|274,719
8|719|sample|4|274,746.093,0.9951,0.324214,2.28118,0.00506281,-6.6625e-05,746.093,0.995095,0.324212,2.28118,0.00506283,-6.6627e-05,True,55.0|274,719
8|719|sample|5|274,746.093,0.995102,0.324214,2.28118,0.00506281,-6.6625e-05,746.093,0.995095,0.324212,2.28118,0.00506283,-6.6627e-05,True,55.0|274,719
8|719|sample|6|274,746.093,0.995104,0.324213,2.28118,0.00506281,-6.6625e-05,746.093,0.995095,0.324212,2.28118,0.00506283,-6.6627e-05,True,55.0|274,719
8|719|sample|7|274,746.093,0.910894,0.00619696,295.012,0.00506281,-6.6625e-05,746.093,0.910898,0.00619695,295.012,0.00506283,-6.6627e-05,True,32.0|274,719
8|719|sample|8|274,746.093,0.910895,0.00619693,295.011,0.00506281,-6.6625e-05,746.093,0.910898,0.00619695,295.012,0.00506283,-6.6627e-05,True,32.0|274,719
8|719|sample|9|274,746.093,0.910894,0.00619694,295.012,0.00506281,-6.6625e-05,746.093,0.910898,0.00619695,295.012,0.00506283,-6.6627e-05,True,32.0|274,719
8|719|vc|1|2|274,746.093,1.67809,0.02723,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|vc|2|2|274,746.093,1.6781,0.0272301,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|vc|3|2|274,746.093,1.67809,0.02723,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|vc|4|2|274,746.093,1.67809,0.0272301,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|vc|5|2|274,746.093,1.6781,0.02723,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|vc|6|2|274,746.093,1.67809,0.0272301,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|vc|7|2|274,746.093,1.67809,0.0272301,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|719|vc|8|2|274,746.093,1.67809,0.02723,28.7444,0.00506281,-6.6625e-05,746.093,1.67809,0.0272301,28.7444,0.00506283,-6.6627e-05,False,69.0|274,719
8|488|cc|1|1|322,746.093,2.22246,0.00708665,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|cc|2|1|322,746.093,2.22246,0.00708664,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|cc|3|1|322,746.093,2.22246,0.00708663,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|cc|4|1|322,746.093,2.22246,0.00708663,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
8|488|cc|5|1|322,746.093,2.22246,0.00708664,7.44561,0.00506396,-3.1101e-05,746.093,2.22246,0.00708662,7.44562,0.00506398,-3.11019e-05,False,69.0|322,488
