rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,663.948,0.719995,0.0278711,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|cc|2|1|162,663.948,0.719995,0.0278709,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|cc|3|1|162,663.948,0.719995,0.0278703,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|cc|4|1|162,663.948,0.719995,0.0278707,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|cc|5|1|162,663.948,0.719995,0.0278706,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|cc|6|1|162,663.948,0.719995,0.0278712,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|cc|7|1|162,663.948,0.719995,0.0278705,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|cc|8|1|162,663.948,0.719995,0.0278708,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|sample|10|162,663.948,0.719998,0.031248,18.7133,0.31332,1.30896,True,32.0|162,84
1,8|84|sample|11|162,663.948,0.719998,0.0234699,18.7133,0.31332,1.30896,True,22.0|162,84
1,8|84|sample|12|162,663.948,0.719998,0.0234701,18.7133,0.31332,1.30896,True,22.0|162,84
1,8|84|sample|3|162,663.948,0.719998,0.00202429,18.7133,0.31332,1.30896,True,55.0|162,84
1,8|84|sample|4|162,663.948,0.719998,0.00202429,18.7133,0.31332,1.30896,True,55.0|162,84
1,8|84|sample|5|162,663.948,0.719998,0.00202429,18.7133,0.31332,1.30896,True,55.0|162,84
1,8|84|sample|6|162,663.948,0.719998,0.00202431,18.7133,0.31332,1.30896,True,55.0|162,84
1,8|84|sample|7|162,663.948,0.719998,0.0312493,18.7133,0.31332,1.30896,True,32.0|162,84
1,8|84|sample|8|162,663.948,0.719998,0.0312489,18.7133,0.31332,1.30896,True,32.0|162,84
1,8|84|sample|9|162,663.948,0.719998,0.031249,18.7133,0.31332,1.30896,True,32.0|162,84
1,8|84|vc|1|2|162,663.948,0.719995,0.0278711,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|vc|2|2|162,663.948,0.719995,0.0278709,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|vc|3|2|162,663.948,0.719995,0.0278706,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|vc|4|2|162,663.948,0.719995,0.0278709,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|vc|5|2|162,663.948,0.719995,0.0278707,18.7119,0.31332,1.30896,False,69.0|162,84
1,8|84|vc|6|2|162,663.948,0.719995,0.0278706,18.7119,0.31332,1.30896,False,69.0|162,84
