id,importanceSampling
8|84|cc|1|1|162,16.095795
8|84|cc|2|1|162,16.02309
8|84|cc|3|1|162,16.117637
8|84|cc|4|1|162,16.223045
8|84|cc|5|1|162,16.33993
8|84|cc|6|1|162,16.323771
8|84|cc|7|1|162,16.328064
8|84|cc|8|1|162,15.969221
8|84|sample|10|162,148.630608
8|84|sample|11|162,152.926025
8|84|sample|12|162,148.699979
8|84|sample|3|162,163.688899
8|84|sample|4|162,161.928315
8|84|sample|5|162,164.962152
8|84|sample|6|162,160.972648
8|84|sample|7|162,155.314203
8|84|sample|8|162,154.669835
8|84|sample|9|162,149.517171
8|84|vc|1|2|162,20.272595
8|84|vc|2|2|162,20.570475
8|84|vc|3|2|162,20.583683
8|84|vc|4|2|162,20.488096
8|84|vc|5|2|162,20.579684
8|84|vc|6|2|162,20.832123
8|84|vc|7|2|162,20.419965
8|84|vc|8|2|162,21.598168
8|719|cc|1|1|274,15.990011
8|719|cc|2|1|274,16.099515
8|719|cc|3|1|274,16.260459
8|719|cc|4|1|274,16.545544
8|719|cc|5|1|274,16.392965
8|719|cc|6|1|274,16.561275
8|719|cc|7|1|274,16.654553
8|719|cc|8|1|274,16.466153
8|719|sample|10|274,149.634606
8|719|sample|11|274,148.475885
8|719|sample|12|274,151.941117
8|719|sample|3|274,161.307902
8|719|sample|4|274,161.168419
8|719|sample|5|274,152.863039
8|719|sample|6|274,154.269226
8|719|sample|7|274,154.455026
8|719|sample|8|274,153.398116
8|719|sample|9|274,149.887858
8|719|vc|1|2|274,21.452005
8|719|vc|2|2|274,20.796569
8|719|vc|3|2|274,20.577966
8|719|vc|4|2|274,20.550916
8|719|vc|5|2|274,20.596159
8|719|vc|6|2|274,20.633078
8|719|vc|7|2|274,21.051517
8|719|vc|8|2|274,21.248349
8|488|cc|1|1|322,16.297755
8|488|cc|2|1|322,16.640959
8|488|cc|3|1|322,16.220424
8|488|cc|4|1|322,16.09659
8|488|cc|5|1|322,16.067392
8|488|cc|6|1|322,16.269514
8|488|cc|7|1|322,16.419909
8|488|cc|8|1|322,16.213635
8|488|sample|10|322,164.651873
8|488|sample|11|322,152.82006
8|488|sample|12|322,150.870311
8|488|sample|3|322,166.485483
8|488|sample|4|322,167.486096
8|488|sample|5|322,165.45163
8|488|sample|6|322,166.179682
8|488|sample|7|322,167.91692
8|488|sample|8|322,171.715904
8|488|sample|9|322,162.307414
8|488|vc|1|2|322,21.352434
8|488|vc|2|2|322,21.03209
8|488|vc|3|2|322,20.740103
8|488|vc|4|2|322,20.726436
8|488|vc|5|2|322,20.71442
8|488|vc|6|2|322,20.724512
8|488|vc|7|2|322,20.746896
8|488|vc|8|2|322,20.55397
8|847|cc|1|1|69,16.210949
8|847|cc|2|1|69,16.608533
8|847|cc|3|1|69,16.878379
8|847|cc|4|1|69,16.383054
8|847|cc|5|1|69,16.571496
8|847|cc|6|1|69,16.564646
8|847|cc|7|1|69,16.348019
8|847|cc|8|1|69,17.354514
8|847|sample|10|69,147.532699
8|847|sample|11|69,156.524431
8|847|sample|12|69,153.451726
8|847|sample|3|69,185.147964
8|847|sample|4|69,182.970377
8|847|sample|5|69,170.183733
8|847|sample|6|69,171.621844
8|847|sample|7|69,156.206685
8|847|sample|8|69,153.681295
8|847|sample|9|69,146.434241
8|847|vc|1|2|69,21.343243
8|847|vc|2|2|69,21.536533
8|847|vc|3|2|69,21.490159
8|847|vc|4|2|69,21.702292
8|847|vc|5|2|69,22.319594
8|847|vc|6|2|69,21.639546
8|847|vc|7|2|69,21.618217
8|847|vc|8|2|69,21.583248
8|474|cc|1|1|276,16.279332
8|474|cc|2|1|276,16.491774
8|474|cc|3|1|276,16.519906
8|474|cc|4|1|276,16.61558
8|474|cc|5|1|276,16.547621
8|474|cc|6|1|276,17.016766
8|474|cc|7|1|276,17.123533
8|474|cc|8|1|276,16.396658
8|474|sample|10|276,144.12593
8|474|sample|11|276,151.215842
8|474|sample|12|276,150.700588
8|474|sample|3|276,167.824072
8|474|sample|4|276,165.569766
8|474|sample|5|276,161.011948
8|474|sample|6|276,160.354867
8|474|sample|7|276,147.881538
8|474|sample|8|276,148.204694
8|474|sample|9|276,145.551696
8|474|vc|1|2|276,21.415632
8|474|vc|2|2|276,21.326609
8|474|vc|3|2|276,21.635663
8|474|vc|4|2|276,21.377519
8|474|vc|5|2|276,21.329742
8|474|vc|6|2|276,21.375675
8|474|vc|7|2|276,21.331461
8|474|vc|8|2|276,22.898626
8|462|cc|1|1|292,15.597543
8|462|cc|2|1|292,15.571543
8|462|cc|3|1|292,15.686759
8|462|cc|4|1|292,16.093553
8|462|cc|5|1|292,16.332536
8|462|cc|6|1|292,16.395845
8|462|cc|7|1|292,16.159149
8|462|cc|8|1|292,16.416942
8|462|sample|10|292,147.840602
8|462|sample|11|292,154.871184
8|462|sample|12|292,162.086782
8|462|sample|3|292,172.519206
8|462|sample|4|292,175.719012
8|462|sample|5|292,164.537395
8|462|sample|6|292,163.689599
8|462|sample|7|292,155.737877
8|462|sample|8|292,156.52212
8|462|sample|9|292,150.719056
8|462|vc|1|2|292,21.528228
8|462|vc|2|2|292,21.50788
8|462|vc|3|2|292,22.264588
8|462|vc|4|2|292,21.832672
8|462|vc|5|2|292,21.475315
8|462|vc|6|2|292,21.978535
8|462|vc|7|2|292,21.369269
8|462|vc|8|2|292,23.307254
8|75|cc|1|1|65,15.160349
8|75|cc|2|1|65,15.302632
8|75|cc|3|1|65,15.408369
8|75|cc|4|1|65,15.35385
8|75|cc|5|1|65,15.479291
8|75|cc|6|1|65,15.313039
8|75|cc|7|1|65,15.707745
8|75|cc|8|1|65,15.372506
8|75|sample|10|65,148.281835
8|75|sample|11|65,129.276701
8|75|sample|12|65,126.317728
8|75|sample|3|65,135.781948
8|75|sample|4|65,134.125408
8|75|sample|5|65,127.380876
8|75|sample|6|65,131.627628
8|75|sample|7|65,153.595657
8|75|sample|8|65,147.999569
8|75|sample|9|65,146.191485
8|75|vc|1|2|65,16.908688
8|75|vc|2|2|65,17.052259
8|75|vc|3|2|65,17.069029
8|75|vc|4|2|65,18.026541
8|75|vc|5|2|65,17.59375
8|75|vc|6|2|65,17.057439
8|75|vc|7|2|65,17.025903
8|75|vc|8|2|65,17.949975
8|291|cc|1|1|103,15.401629
8|291|cc|2|1|103,16.033611
8|291|cc|3|1|103,15.671027
8|291|cc|4|1|103,15.895654
8|291|cc|5|1|103,15.902922
8|291|cc|6|1|103,15.801026
8|291|cc|7|1|103,15.988133
8|291|cc|8|1|103,15.847808
8|291|sample|10|103,140.805327
8|291|sample|11|103,151.919408
8|291|sample|12|103,142.125217
8|291|sample|3|103,162.267038
8|291|sample|4|103,162.614627
8|291|sample|5|103,155.941415
8|291|sample|6|103,153.127728
8|291|sample|7|103,147.77508
8|291|sample|8|103,150.359198
8|291|sample|9|103,142.128178
8|291|vc|1|2|103,20.702623
8|291|vc|2|2|103,21.29672
8|291|vc|3|2|103,20.976781
8|291|vc|4|2|103,21.132572
8|291|vc|5|2|103,21.388281
8|291|vc|6|2|103,20.83293
8|291|vc|7|2|103,20.857774
8|291|vc|8|2|103,21.255998
8|77|cc|1|1|218,15.159111
8|77|cc|2|1|218,15.293642
8|77|cc|3|1|218,15.228106
8|77|cc|4|1|218,15.412634
8|77|cc|5|1|218,15.102091
8|77|cc|6|1|218,15.048578
8|77|cc|7|1|218,14.910722
8|77|cc|8|1|218,15.258851
8|77|sample|10|218,145.364565
8|77|sample|11|218,136.821969
8|77|sample|12|218,136.538448
8|77|sample|3|218,138.24502
8|77|sample|4|218,139.001389
8|77|sample|5|218,136.882384
8|77|sample|6|218,137.652832
8|77|sample|7|218,144.425744
8|77|sample|8|218,147.159399
8|77|sample|9|218,146.820588
8|77|vc|1|2|218,19.985709
8|77|vc|2|2|218,19.487486
8|77|vc|3|2|218,19.266014
8|77|vc|4|2|218,19.335082
8|77|vc|5|2|218,19.274153
8|77|vc|6|2|218,19.257248
8|77|vc|7|2|218,19.347921
8|77|vc|8|2|218,19.312157
8|322|cc|1|1|174,15.080646
8|322|cc|2|1|174,15.057805
8|322|cc|3|1|174,14.88383
8|322|cc|4|1|174,15.184801
8|322|cc|5|1|174,15.222464
8|322|cc|6|1|174,15.515793
8|322|cc|7|1|174,15.399688
8|322|cc|8|1|174,15.577257
8|322|sample|10|174,147.08594
8|322|sample|11|174,144.311354
8|322|sample|12|174,139.483067
8|322|sample|3|174,153.426419
8|322|sample|4|174,160.558903
8|322|sample|5|174,141.866304
8|322|sample|6|174,141.661173
8|322|sample|7|174,160.052279
8|322|sample|8|174,159.335777
8|322|sample|9|174,143.569221
8|322|vc|1|2|174,22.078313
8|322|vc|2|2|174,19.884936
8|322|vc|3|2|174,19.983013
8|322|vc|4|2|174,20.708934
8|322|vc|5|2|174,19.840048
8|322|vc|6|2|174,19.865122
8|322|vc|7|2|174,19.928475
8|322|vc|8|2|174,21.126213
8|963|cc|1|1|319,15.105379
8|963|cc|2|1|319,14.829708
8|963|cc|3|1|319,15.106606
8|963|cc|4|1|319,15.034253
8|963|cc|5|1|319,15.119853
8|963|cc|6|1|319,15.285153
