id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,0,-2.59677e-07,0,-3.02545e-08,0.269094,0,0,0,-4.3201e-12,0,-1.0008e-11,0.290025,0,0,True,70.0|274,411
9|411|sample|3|274,0,-4.68307e-07,0,-3.88309e-07,0.714036,0,0,0,-1.56888e-11,0,1.83844e-11,0.729393,0,0,True,70.0|274,411
9|411|sample|5|274,0,1.32484e-07,0,-4.2753e-07,0.233735,0,0,0,-7.95808e-12,0,8.56026e-12,0.244383,0,0,True,70.0|274,411
9|411|sample|6|274,0,-1.43707e-07,0,-5.23694e-07,0.12704,0,0,0,-2.86491e-11,0,4.43467e-12,0.187294,0,0,True,70.0|274,411
9|411|sample|8|274,0,-1.17883e-07,0,-4.26317e-08,0.439127,0,0,0,-1.02318e-11,0,1.19069e-11,0.478039,0,0,True,70.0|274,411
9|411|sample|7|274,0,2.66798e-07,0,-7.82822e-08,0.490667,0,0,0,-1.22782e-11,0,8.88001e-12,0.533974,0,0,True,70.0|274,411
9|411|sample|9|274,0,-7.71715e-08,0,-2.35843e-07,0.270401,0,0,0,-2.77396e-11,0,-2.16183e-11,0.29559,0,0,True,70.0|274,411
9|411|sample|10|274,0,-5.12198e-08,0,1.7219e-07,0.184629,0,0,0,5.22959e-12,0,-2.43934e-11,0.206462,0,0,True,70.0|274,411
9|411|sample|12|274,0,1.14046e-07,0,2.01984e-07,0.581631,0,0,0,-8.98126e-12,0,1.9627e-11,0.625684,0,0,True,70.0|274,411
9|411|sample|11|274,0,8.92332e-08,0,1.96118e-07,0.466357,0,0,0,2.47837e-11,0,1.04698e-11,0.489614,0,0,True,70.0|274,411
9|411|cc|1|1|274,0,7.72765e-08,0,-1.11931e-07,0.0909573,0,0,0,-1.13687e-12,0,-3.39728e-14,2.76797e-07,0,0,False,69.0|274,411
9|411|cc|2|1|274,0,1.10455e-07,0,-1.4765e-07,0.103157,0,0,0,-4.54747e-13,0,-1.48548e-13,-2.41927e-07,0,0,False,69.0|274,411
9|411|cc|3|1|274,0,1.95314e-07,0,3.32638e-08,0.0951856,0,0,0,-2.27374e-13,0,-8.90843e-13,-6.41421e-08,0,0,False,69.0|274,411
9|411|cc|4|1|274,0,-2.07169e-07,0,5.23031e-08,0.0896444,0,0,0,2.27374e-13,0,1.49925e-12,2.23566e-07,0,0,False,69.0|274,411
9|411|cc|5|1|274,0,9.45464e-08,0,1.39723e-08,-0.0255522,0,0,0,-9.09495e-13,0,-1.82077e-14,-3.03526e-07,0,0,False,69.0|274,411
9|411|cc|6|1|274,0,-2.50228e-07,0,2.97506e-07,0.0488069,0,0,0,-2.27374e-13,0,-4.30767e-13,-2.82405e-07,0,0,False,69.0|274,411
9|411|cc|7|1|274,0,-3.85607e-08,0,-2.81991e-07,-0.0942547,0,0,0,-4.54747e-13,0,-7.32747e-15,-9.40843e-08,0,0,False,69.0|274,411
9|411|cc|8|1|274,0,5.11596e-08,0,-1.90771e-07,-0.0886739,0,0,0,-1.36424e-12,0,9.76996e-15,-2.58567e-07,0,0,False,69.0|274,411
9|411|vc|1|2|274,0,-3.68957e-08,0,5.58694e-07,-0.119867,0,0,0,-6.82121e-13,0,6.08402e-14,-1.53922e-08,0,0,False,69.0|274,411
9|411|vc|2|2|274,0,1.0204e-08,0,-2.56537e-07,0.0383934,0,0,0,6.82121e-13,0,-2.52243e-13,-1.87822e-08,0,0,False,69.0|274,411
9|411|vc|3|2|274,0,1.38415e-07,0,-1.65045e-08,0.124764,0,0,0,2.27374e-13,0,-1.96509e-13,-3.47119e-07,0,0,False,69.0|274,411
9|411|vc|4|2|274,0,-6.69982e-08,0,9.173e-08,-0.0297502,0,0,0,-7.95808e-13,0,-2.54019e-13,-8.63366e-08,0,0,False,69.0|274,411
9|411|vc|5|2|274,0,3.22213e-08,0,1.22585e-07,0.00778566,0,0,0,0.0,0,2.86882e-13,-4.55644e-07,0,0,False,69.0|274,411
9|411|vc|6|2|274,0,-2.43878e-07,0,2.92229e-07,0.00815717,0,0,0,2.27374e-13,0,-3.88578e-14,2.12176e-07,0,0,False,69.0|274,411
9|411|vc|7|2|274,0,-1.67165e-07,0,-1.32934e-07,-0.0843052,0,0,0,3.41061e-13,0,-8.35776e-13,-3.05196e-07,0,0,False,69.0|274,411
9|411|vc|8|2|274,0,2.86166e-07,0,-2.39383e-07,0.0508702,0,0,0,3.41061e-13,0,4.8872e-13,-3.99732e-07,0,0,False,69.0|274,411
14|783|sample|3|71,0,3.19666e-08,0,-3.89899e-07,-2.9095,0,0,0,2.95586e-12,0,-3.59755e-11,-3.00601,0,0,True,6.0|71,783
