parameter,value,CV
U_offset_pop,0.0139280761124654,
L_pop,838.511077168387,
beta_L_goes_down_True,-2.76987368972641,
beta_L_mab_virus_6_0_42,-3.6338365897177,
beta_L_mab_virus_6_0_233,-2.03114648353676,
beta_L_mab_virus_6_0_71,-1.52241637225734,
beta_L_mab_virus_6_0_99,-2.32380388236356,
beta_L_mab_virus_44_0_99,-1.13265697384304,
beta_L_mab_virus_63_0_42,-3.47196994401702,
beta_L_mab_virus_63_0_99,-4.52600488256439,
beta_L_mab_virus_70_0_274,1.99592507110697,
beta_L_mab_virus_65_0_65,3.20226453684177,
beta_L_mab_virus_65_0_69,-3.82357479618122,
beta_L_mab_virus_65_0_319,-1.58214961927592,
beta_L_mab_virus_65_0_162,1.93900963239093,
beta_L_mab_virus_65_0_218,1.44087074001095,
beta_L_mab_virus_65_0_174,0.456381802775013,
beta_L_mab_virus_65_0_322,-0.257433669569537,
beta_L_mab_virus_65_0_292,0.50187569620789,
beta_L_mab_virus_65_0_274,0.0825773532696985,
beta_L_mab_virus_65_0_103,-4.16808698529621,
beta_L_mab_virus_65_0_276,-1.86326547719727,
beta_L_mab_virus_55_0_65,-0.705653658548727,
beta_L_mab_virus_55_0_69,-3.89158237223069,
beta_L_mab_virus_55_0_319,-0.271358215964938,
beta_L_mab_virus_55_0_162,-0.187595410845233,
beta_L_mab_virus_55_0_218,-5.99956185713859,
beta_L_mab_virus_55_0_174,0.538417511012085,
beta_L_mab_virus_55_0_322,-0.334983358053478,
beta_L_mab_virus_55_0_292,1.35628181289735,
beta_L_mab_virus_55_0_274,-2.26008654025031,
beta_L_mab_virus_55_0_103,0.426555705870442,
beta_L_mab_virus_55_0_276,2.48773403800078,
beta_L_mab_virus_28_0_65,-1.42424070509287,
beta_L_mab_virus_28_0_69,-4.38570469130514,
beta_L_mab_virus_28_0_319,-1.65176270142547,
beta_L_mab_virus_28_0_162,0.499650103281738,
beta_L_mab_virus_28_0_218,-4.42724625106666,
beta_L_mab_virus_28_0_174,-0.366630129443365,
beta_L_mab_virus_28_0_322,-3.87829581201572,
beta_L_mab_virus_28_0_292,-0.49289371339205,
beta_L_mab_virus_28_0_274,6.98320270759928,
beta_L_mab_virus_28_0_103,-2.71847957096406,
beta_L_mab_virus_28_0_276,-5.38168006238607,
beta_L_mab_virus_32_0_65,-2.60341910989473,
beta_L_mab_virus_32_0_69,2.41048169392843,
beta_L_mab_virus_32_0_319,-0.613785002124359,
beta_L_mab_virus_32_0_162,-1.56236348598668,
beta_L_mab_virus_32_0_218,-1.01836640720285,
beta_L_mab_virus_32_0_174,-0.211426535710643,
beta_L_mab_virus_32_0_322,0.909208753697158,
beta_L_mab_virus_32_0_292,0.117596605559356,
beta_L_mab_virus_32_0_274,-2.35375752850791,
beta_L_mab_virus_32_0_103,-4.31339239589693,
beta_L_mab_virus_32_0_276,-3.53242752972096,
beta_L_mab_virus_22_0_65,-3.65387571902033,
beta_L_mab_virus_22_0_69,-3.40460921444651,
beta_L_mab_virus_22_0_319,-3.34928203690811,
beta_L_mab_virus_22_0_162,1.17573673696643,
beta_L_mab_virus_22_0_218,-1.65332395167638,
beta_L_mab_virus_22_0_174,-4.38524026828713,
beta_L_mab_virus_22_0_322,0.880360349344301,
beta_L_mab_virus_22_0_292,-1.14807486668656,
beta_L_mab_virus_22_0_274,-5.22575075344344,
beta_L_mab_virus_22_0_103,-2.99198586230341,
beta_L_mab_virus_22_0_276,-0.075550648470653,
beta_L_mab_virus_69_0_73,-3.73683421945498,
beta_L_mab_virus_69_0_65,-3.23038344491215,
beta_L_mab_virus_69_0_69,-3.76735532235762,
beta_L_mab_virus_69_0_42,-3.88042316201518,
beta_L_mab_virus_69_0_319,-4.01659661036047,
beta_L_mab_virus_69_0_162,-2.60102622352224,
beta_L_mab_virus_69_0_218,-3.79915015453389,
beta_L_mab_virus_69_0_174,-5.20545298814795,
beta_L_mab_virus_69_0_322,-3.85249538799781,
beta_L_mab_virus_69_0_233,-3.23626490008883,
beta_L_mab_virus_69_0_71,-3.29516980769768,
beta_L_mab_virus_69_0_99,-3.336817085039,
