rep,id,U_offset,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,0.0139281,837.737,0.838525,0.0932556,8.35345,-10.702,316687,True,70.0|274,411
1,9|411|sample|3|274,0.0139281,837.737,0.838525,0.0932557,12.8079,-10.702,316687,True,70.0|274,411
1,9|411|sample|5|274,0.0139281,837.737,0.838525,0.0932554,7.98646,-10.702,316687,True,70.0|274,411
1,9|411|sample|6|274,0.0139281,837.737,0.838525,0.0932556,7.98844,-10.702,316687,True,70.0|274,411
1,9|411|sample|8|274,0.0139281,837.737,0.838525,0.0932559,10.3747,-10.702,316687,True,70.0|274,411
1,9|411|sample|7|274,0.0139281,837.737,0.838525,0.0932555,10.2375,-10.702,316687,True,70.0|274,411
1,9|411|sample|9|274,0.0139281,837.737,0.838525,0.0932556,8.70902,-10.702,316687,True,70.0|274,411
1,9|411|sample|10|274,0.0139281,837.737,0.838525,0.0932562,8.19608,-10.702,316687,True,70.0|274,411
1,9|411|sample|12|274,0.0139281,837.737,0.838525,0.0932561,12.1939,-10.702,316687,True,70.0|274,411
1,9|411|sample|11|274,0.0139281,837.737,0.838525,0.0932555,9.97385,-10.702,316687,True,70.0|274,411
1,9|411|cc|1|1|274,0.0139281,833.256,0.838566,0.248573,2.54778,-10.702,316687,False,69.0|274,411
1,9|411|cc|2|1|274,0.0139281,833.256,0.838566,0.248573,0.0834611,-10.702,316687,False,69.0|274,411
1,9|411|cc|3|1|274,0.0139281,833.256,0.838566,0.248574,2.26134,-10.702,316687,False,69.0|274,411
1,9|411|cc|4|1|274,0.0139281,833.256,0.838566,0.248573,22.966,-10.702,316687,False,69.0|274,411
1,9|411|cc|5|1|274,0.0139281,833.256,0.838566,0.248574,0.781404,-10.702,316687,False,69.0|274,411
1,9|411|cc|6|1|274,0.0139281,833.256,0.838566,0.248574,4.53636,-10.702,316687,False,69.0|274,411
1,9|411|cc|7|1|274,0.0139281,833.256,0.838566,0.248574,0.87788,-10.702,316687,False,69.0|274,411
1,9|411|cc|8|1|274,0.0139281,833.256,0.838566,0.248573,5.32211,-10.702,316687,False,69.0|274,411
1,9|411|vc|1|2|274,0.0139281,833.256,0.838566,0.248574,0.0435338,-10.702,316687,False,69.0|274,411
1,9|411|vc|2|2|274,0.0139281,833.256,0.838566,0.248573,0.221047,-10.702,316687,False,69.0|274,411
1,9|411|vc|3|2|274,0.0139281,833.256,0.838566,0.248573,0.0676388,-10.702,316687,False,69.0|274,411
1,9|411|vc|4|2|274,0.0139281,833.256,0.838566,0.248574,1.38458,-10.702,316687,False,69.0|274,411
1,9|411|vc|5|2|274,0.0139281,833.256,0.838566,0.248573,0.775362,-10.702,316687,False,69.0|274,411
1,9|411|vc|6|2|274,0.0139281,833.256,0.838566,0.248573,0.308452,-10.702,316687,False,69.0|274,411
1,9|411|vc|7|2|274,0.0139281,833.256,0.838566,0.248574,6.28418,-10.702,316687,False,69.0|274,411
1,9|411|vc|8|2|274,0.0139281,833.256,0.838566,0.248574,1.32951,-10.702,316687,False,69.0|274,411
1,14|783|sample|3|71,0.0139281,834.219,0.837798,1.54459,0.298517,-10.7021,316687,True,6.0|71,783
1,14|783|sample|4|71,0.0139281,834.219,0.837798,1.54458,0.336991,-10.7021,316687,True,6.0|71,783
1,14|783|sample|5|71,0.0139281,834.219,0.837798,1.54459,0.501913,-10.7021,316687,True,6.0|71,783
1,14|783|sample|6|71,0.0139281,834.219,0.837798,1.54459,0.565635,-10.7021,316687,True,6.0|71,783
1,14|783|sample|7|71,0.0139281,834.219,0.837798,1.5446,5.81793,-10.7021,316687,True,6.0|71,783
