rep,id,eta_U_offset,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,0,-1.62938e-06,0,-2.62499e-06,0.274183,0,0,True,70.0|274,411
1,9|411|sample|3|274,0,-5.41391e-07,0,-1.80294e-06,0.701573,0,0,True,70.0|274,411
1,9|411|sample|5|274,0,6.89847e-07,0,-4.88022e-06,0.229256,0,0,True,70.0|274,411
1,9|411|sample|6|274,0,8.23296e-07,0,-3.3217e-06,0.229504,0,0,True,70.0|274,411
1,9|411|sample|8|274,0,2.69397e-06,0,3.27016e-07,0.490883,0,0,True,70.0|274,411
1,9|411|sample|7|274,0,2.01457e-06,0,-3.76866e-06,0.477569,0,0,True,70.0|274,411
1,9|411|sample|9|274,0,5.24786e-08,0,-2.75366e-06,0.315867,0,0,True,70.0|274,411
1,9|411|sample|10|274,0,1.8295e-06,0,3.28524e-06,0.255164,0,0,True,70.0|274,411
1,9|411|sample|12|274,0,-1.05784e-06,0,2.73004e-06,0.652446,0,0,True,70.0|274,411
1,9|411|sample|11|274,0,1.38624e-06,0,-3.90593e-06,0.451475,0,0,True,70.0|274,411
1,9|411|cc|1|1|274,0,-1.24294e-07,0,-1.33442e-06,1.21279,0,0,False,69.0|274,411
1,9|411|cc|2|1|274,0,-1.79747e-06,0,-1.58623e-06,-2.20581,0,0,False,69.0|274,411
1,9|411|cc|3|1|274,0,-2.49121e-06,0,1.02289e-06,1.09352,0,0,False,69.0|274,411
1,9|411|cc|4|1|274,0,-1.66657e-06,0,-1.40642e-06,3.41158,0,0,False,69.0|274,411
1,9|411|cc|5|1|274,0,-4.47677e-06,0,3.68702e-06,0.0309031,0,0,False,69.0|274,411
1,9|411|cc|6|1|274,0,3.91912e-07,0,2.35702e-06,1.78969,0,0,False,69.0|274,411
1,9|411|cc|7|1|274,0,-1.94981e-06,0,1.43882e-07,0.147321,0,0,False,69.0|274,411
1,9|411|cc|8|1|274,0,-7.48374e-07,0,-7.12742e-08,1.94944,0,0,False,69.0|274,411
1,9|411|vc|1|2|274,0,-2.80967e-06,0,3.17083e-06,-2.85665,0,0,False,69.0|274,411
1,9|411|vc|2|2|274,0,7.51715e-07,0,-1.46061e-06,-1.23181,0,0,False,69.0|274,411
1,9|411|vc|3|2|274,0,1.13802e-06,0,-2.65551e-06,-2.41601,0,0,False,69.0|274,411
1,9|411|vc|4|2|274,0,6.64937e-08,0,3.00029e-06,0.602964,0,0,False,69.0|274,411
1,9|411|vc|5|2|274,0,1.16821e-06,0,-1.02635e-06,0.0231413,0,0,False,69.0|274,411
1,9|411|vc|6|2|274,0,-1.21967e-06,0,-1.34341e-06,-0.898621,0,0,False,69.0|274,411
1,9|411|vc|7|2|274,0,2.0749e-06,0,8.97375e-07,2.1156,0,0,False,69.0|274,411
1,9|411|vc|8|2|274,0,4.86605e-08,0,9.63912e-07,0.562379,0,0,False,69.0|274,411
1,14|783|sample|3|71,0,-2.04515e-06,0,2.04075e-06,-3.13454,0,0,True,6.0|71,783
1,14|783|sample|4|71,0,-3.6057e-08,0,-2.87606e-06,-3.01331,0,0,True,6.0|71,783
1,14|783|sample|5|71,0,-1.6078e-07,0,-3.18768e-07,-2.61495,0,0,True,6.0|71,783
1,14|783|sample|6|71,0,-5.15727e-07,0,-7.35166e-08,-2.49542,0,0,True,6.0|71,783
1,14|783|sample|7|71,0,-1.28035e-06,0,5.80434e-06,-0.164672,0,0,True,6.0|71,783
1,14|783|sample|8|71,0,-1.97508e-06,0,-2.61395e-07,-0.198936,0,0,True,6.0|71,783
1,14|783|sample|10|71,0,-2.17411e-06,0,1.31038e-06,-2.94832,0,0,True,6.0|71,783
1,14|783|sample|9|71,0,-5.15537e-07,0,-6.83414e-06,-3.04696,0,0,True,6.0|71,783
1,14|783|sample|12|71,0,-2.74773e-06,0,1.99924e-07,0.596211,0,0,True,6.0|71,783
1,14|783|sample|11|71,0,-7.11584e-07,0,-1.34175e-06,0.634088,0,0,True,6.0|71,783
1,14|783|cc|1|1|71,0,-9.53007e-07,0,1.41171e-07,-1.14991,0,0,False,69.0|71,783
1,14|783|cc|2|1|71,0,2.55821e-06,0,-2.28558e-06,-1.66604,0,0,False,69.0|71,783
1,14|783|cc|3|1|71,0,-2.07645e-06,0,2.24018e-06,2.50467,0,0,False,69.0|71,783
1,14|783|cc|4|1|71,0,-3.52531e-07,0,1.89264e-07,2.69969,0,0,False,69.0|71,783
1,14|783|cc|5|1|71,0,-1.6006e-06,0,2.70418e-06,1.47017,0,0,False,69.0|71,783
1,14|783|cc|6|1|71,0,-4.0853e-07,0,-3.77373e-06,1.3899,0,0,False,69.0|71,783
1,14|783|cc|7|1|71,0,-5.91106e-07,0,-1.96472e-06,-2.2973,0,0,False,69.0|71,783
1,14|783|cc|8|1|71,0,7.02449e-07,0,-3.46886e-06,-1.79613,0,0,False,69.0|71,783
1,14|783|vc|1|2|71,0,-3.175e-06,0,4.61934e-06,2.1773,0,0,False,69.0|71,783
1,14|783|vc|2|2|71,0,-1.4113e-06,0,7.37574e-07,2.19912,0,0,False,69.0|71,783
1,14|783|vc|3|2|71,0,2.47162e-07,0,4.03765e-07,-0.016149,0,0,False,69.0|71,783
1,14|783|vc|4|2|71,0,2.6468e-06,0,2.42746e-06,-0.544183,0,0,False,69.0|71,783
1,14|783|vc|5|2|71,0,6.91587e-07,0,1.90993e-06,-0.701968,0,0,False,69.0|71,783
1,14|783|vc|6|2|71,0,1.21549e-06,0,-9.41297e-07,-1.02416,0,0,False,69.0|71,783
1,14|783|vc|7|2|71,0,-2.79644e-06,0,-1.24988e-06,0.927284,0,0,False,69.0|71,783
1,14|783|vc|8|2|71,0,-3.28276e-07,0,-3.5461e-06,-2.26127,0,0,False,69.0|71,783
1,14|491|sample|10|99,0,-1.10758e-06,0,-1.7283e-06,1.5556,0,0,True,6.0|99,491
1,14|491|sample|9|99,0,-1.4829e-06,0,2.73461e-06,1.41358,0,0,True,6.0|99,491
1,14|491|sample|12|99,0,-2.88072e-06,0,-5.56918e-07,0.878348,0,0,True,6.0|99,491
1,14|491|sample|11|99,0,2.27749e-06,0,-2.32459e-06,0.522916,0,0,True,6.0|99,491
1,14|491|sample|4|99,0,4.58566e-06,0,8.14608e-07,-0.797474,0,0,True,44.0|99,491
1,14|491|sample|3|99,0,1.20031e-07,0,1.61974e-06,-0.784759,0,0,True,44.0|99,491
1,14|491|sample|6|99,0,-1.76869e-06,0,-4.46961e-08,-1.14485,0,0,True,44.0|99,491
1,14|491|sample|5|99,0,3.13692e-06,0,-7.24564e-07,-1.14323,0,0,True,44.0|99,491
1,14|491|sample|7|99,0,2.17362e-06,0,-2.44937e-06,2.65783,0,0,True,63.0|99,491
1,14|491|sample|8|99,0,-5.47151e-07,0,9.15713e-07,2.60265,0,0,True,63.0|99,491
1,14|491|cc|1|1|99,0,1.78229e-06,0,-3.84924e-07,-1.94338,0,0,False,69.0|99,491
1,14|491|cc|2|1|99,0,-1.57027e-06,0,3.79274e-07,-1.18666,0,0,False,69.0|99,491
1,14|491|cc|3|1|99,0,-1.66126e-06,0,-1.4219e-06,0.716024,0,0,False,69.0|99,491
1,14|491|cc|4|1|99,0,-1.39368e-06,0,-9.77914e-07,2.32332,0,0,False,69.0|99,491
1,14|491|cc|5|1|99,0,1.99183e-07,0,2.8662e-07,-1.57998,0,0,False,69.0|99,491
1,14|491|cc|6|1|99,0,2.28849e-06,0,-2.44579e-06,0.503179,0,0,False,69.0|99,491
1,14|491|cc|7|1|99,0,1.81577e-06,0,-8.97153e-07,4.20317,0,0,False,69.0|99,491
1,14|491|cc|8|1|99,0,2.934e-08,0,-3.86215e-06,1.17398,0,0,False,69.0|99,491
1,14|491|vc|1|2|99,0,-4.62738e-06,0,1.33168e-06,1.38475,0,0,False,69.0|99,491
1,14|491|vc|2|2|99,0,7.9345e-07,0,3.17581e-06,2.24474,0,0,False,69.0|99,491
1,14|491|vc|3|2|99,0,-2.73057e-07,0,-4.80653e-06,0.700109,0,0,False,69.0|99,491
1,14|491|vc|4|2|99,0,1.70896e-06,0,2.94157e-06,-0.747185,0,0,False,69.0|99,491
1,14|491|vc|5|2|99,0,-1.98964e-06,0,-2.04292e-06,-0.594566,0,0,False,69.0|99,491
1,14|491|vc|6|2|99,0,1.29344e-06,0,-2.94275e-06,1.05232,0,0,False,69.0|99,491
1,14|491|vc|7|2|99,0,1.21049e-06,0,-4.8474e-06,-2.26639,0,0,False,69.0|99,491
1,14|491|vc|8|2|99,0,3.39698e-06,0,-3.42074e-06,-0.930674,0,0,False,69.0|99,491
