id,importanceSampling
9|411|sample|4|274,140.294423
9|411|sample|3|274,139.842553
9|411|sample|5|274,154.689954
9|411|sample|6|274,158.663466
9|411|sample|8|274,139.442917
9|411|sample|7|274,138.998586
9|411|sample|9|274,157.099544
9|411|sample|10|274,155.631314
9|411|sample|12|274,117.287169
9|411|sample|11|274,140.232966
9|411|cc|1|1|274,18.553284
9|411|cc|2|1|274,19.00777
9|411|cc|3|1|274,18.293079
9|411|cc|4|1|274,18.815796
9|411|cc|5|1|274,19.696158
9|411|cc|6|1|274,18.696245
9|411|cc|7|1|274,19.278022
9|411|cc|8|1|274,19.870272
9|411|vc|1|2|274,19.666215
9|411|vc|2|2|274,19.652192
9|411|vc|3|2|274,19.962939
9|411|vc|4|2|274,19.602593
9|411|vc|5|2|274,19.810997
9|411|vc|6|2|274,19.619089
9|411|vc|7|2|274,19.875691
9|411|vc|8|2|274,19.942132
14|783|sample|3|71,172.221922
14|783|sample|4|71,169.465796
14|783|sample|5|71,164.387337
14|783|sample|6|71,140.260963
14|783|sample|7|71,140.593423
14|783|sample|8|71,141.379368
14|783|sample|10|71,173.80899
14|783|sample|9|71,173.548993
14|783|sample|12|71,138.653206
14|783|sample|11|71,137.585865
14|783|cc|1|1|71,16.535365
14|783|cc|2|1|71,16.090422
14|783|cc|3|1|71,15.810158
14|783|cc|4|1|71,15.752535
14|783|cc|5|1|71,16.071963
14|783|cc|6|1|71,15.659398
14|783|cc|7|1|71,15.896941
14|783|cc|8|1|71,15.44175
14|783|vc|1|2|71,20.054493
14|783|vc|2|2|71,20.182301
14|783|vc|3|2|71,20.013967
14|783|vc|4|2|71,20.056223
14|783|vc|5|2|71,20.036782
14|783|vc|6|2|71,-4.427222
14|783|vc|7|2|71,19.843517
14|783|vc|8|2|71,21.143631
14|491|sample|10|99,132.255465
14|491|sample|9|99,153.046288
14|491|sample|12|99,150.164349
14|491|sample|11|99,152.152688
14|491|sample|4|99,160.229599
14|491|sample|3|99,161.08329
14|491|sample|6|99,156.877563
14|491|sample|5|99,154.245734
14|491|sample|7|99,148.538093
14|491|sample|8|99,145.18227
14|491|cc|1|1|99,14.054796
14|491|cc|2|1|99,14.271283
14|491|cc|3|1|99,14.230308
14|491|cc|4|1|99,14.187622
14|491|cc|5|1|99,14.269443
14|491|cc|6|1|99,14.189426
14|491|cc|7|1|99,14.146423
14|491|cc|8|1|99,14.213538
14|491|vc|1|2|99,20.866465
14|491|vc|2|2|99,20.417559
14|491|vc|3|2|99,19.851208
14|491|vc|4|2|99,-4.799051
14|491|vc|5|2|99,19.498952
14|491|vc|6|2|99,19.603582
14|491|vc|7|2|99,19.405292
14|491|vc|8|2|99,20.794414
14|433|sample|4|99,204.523924
14|433|sample|3|99,166.560121
14|433|sample|6|99,160.382365
14|433|sample|5|99,164.791175
14|433|sample|8|99,117.997502
14|433|sample|7|99,145.088362
14|433|sample|10|99,163.373831
14|433|sample|9|99,152.098693
14|433|sample|11|99,159.967766
14|433|sample|12|99,152.234375
14|433|cc|1|1|99,14.3325
14|433|cc|2|1|99,14.460913
14|433|cc|3|1|99,14.643066
14|433|cc|4|1|99,14.60412
14|433|cc|5|1|99,-9.86161
14|433|cc|6|1|99,14.535092
14|433|cc|7|1|99,14.529238
14|433|cc|8|1|99,14.525046
14|433|vc|1|2|99,22.542305
14|433|vc|2|2|99,20.05797
14|433|vc|3|2|99,21.921078
14|433|vc|4|2|99,20.453292
14|433|vc|5|2|99,20.798772
14|433|vc|6|2|99,21.36792
14|433|vc|7|2|99,19.77496
14|433|vc|8|2|99,29.321933
14|297|sample|3|71,135.10349
14|297|sample|4|71,163.029526
14|297|sample|5|71,145.967916
14|297|sample|6|71,145.055769
14|297|sample|8|71,151.048016
14|297|sample|7|71,153.135537
14|297|sample|9|71,151.730453
14|297|sample|10|71,147.959013
14|297|sample|12|71,169.450509
14|297|sample|11|71,154.767398
14|297|cc|1|1|71,14.592492
14|297|cc|2|1|71,14.662961
14|297|cc|3|1|71,14.644674
14|297|cc|4|1|71,14.580802
14|297|cc|5|1|71,14.508484
14|297|cc|6|1|71,14.665058
14|297|cc|7|1|71,14.52912
14|297|cc|8|1|71,14.744768
14|297|vc|1|2|71,24.523279
14|297|vc|2|2|71,20.046107
14|297|vc|3|2|71,21.221782
14|297|vc|4|2|71,21.043093
14|297|vc|5|2|71,20.177444
14|297|vc|6|2|71,21.175843
14|297|vc|7|2|71,20.208086
14|297|vc|8|2|71,24.088048
14|183|sample|4|233,139.00486
14|183|sample|3|233,136.078622
14|183|sample|6|233,137.368887
14|183|sample|5|233,135.302371
14|183|sample|7|233,144.358959
14|183|sample|8|233,141.610745
14|183|sample|10|233,135.510031
14|183|sample|9|233,136.660641
14|183|sample|12|233,152.503568
14|183|sample|11|233,136.302526
14|183|cc|1|1|233,14.489145
14|183|cc|2|1|233,14.581617
14|183|cc|3|1|233,14.583204
14|183|cc|4|1|233,14.573957
14|183|cc|5|1|233,14.574391
14|183|cc|6|1|233,14.729078
14|183|cc|7|1|233,14.565681
14|183|cc|8|1|233,15.094173
14|183|vc|1|2|233,-5.171031
14|183|vc|2|2|233,17.018087
14|183|vc|3|2|233,16.953715
14|183|vc|4|2|233,16.984297
14|183|vc|5|2|233,17.374625
14|183|vc|6|2|233,17.000205
14|183|vc|7|2|233,16.800016
14|183|vc|8|2|233,18.233826
14|705|sample|3|233,154.856074
14|705|sample|4|233,155.249879
