id,U_SAEM,L_SAEM,alpha_SAEM,U_mode,L_mode,alpha_mode,mean_cc
411,79212.7,574.98,0.268663,79215.6,574.978,0.268455,910.0
783,79212.7,574.98,0.856566,79215.6,574.978,0.856521,572.0039999999999
491,79212.7,574.98,0.268663,79215.6,574.978,0.268455,254.219875
433,79212.7,574.98,1.11137,79215.6,574.978,1.11125,335.306375
297,79212.7,574.98,0.992338,79215.6,574.978,0.992141,362.242
183,79212.7,574.98,0.268663,79215.5,574.978,0.268455,363.422375
705,79212.7,574.98,1.92319,79215.6,574.978,1.92319,377.072125
555,79212.7,574.98,1.57408,79215.6,574.978,1.57709,503.381125
394,79212.7,253.068,0.268662,79215.6,253.073,0.268454,266.9225
1099,79212.7,574.98,0.268663,79215.6,574.978,0.268455,295.221875
611,79212.7,369.039,1.92432,79215.6,369.036,1.92432,389.553125
84,79212.7,574.98,0.653474,79215.6,574.978,0.653531,670.5
1042,79212.7,574.98,0.268663,79215.6,574.978,0.268455,697.25
719,79212.7,574.98,0.268588,79215.6,574.978,0.268381,701.5
863,79212.6,574.98,0.268663,79215.4,574.978,0.268455,671.0
488,79212.7,574.98,0.152518,79215.6,574.978,0.152599,687.0
152,79212.7,574.98,0.10784,79215.6,574.978,0.10785,695.25
847,79212.8,700.972,0.268663,79215.7,700.986,0.268455,737.5
1241,79212.7,705.376,0.268663,79215.6,705.388,0.268455,744.25
474,79212.7,702.849,4.94328e-12,79215.6,702.873,4.88865e-12,740.5
1056,79212.7,574.98,0.268663,79215.6,574.978,0.268455,713.75
462,79212.7,574.98,0.268663,79215.6,574.978,0.268455,643.5
1159,79212.7,574.98,0.268663,79215.6,574.978,0.268455,654.75
75,79212.7,574.98,0.268663,79215.6,574.978,0.268455,523.5
1017,79212.7,574.98,1.84821,79215.6,574.978,1.84825,553.0
291,79212.7,574.98,0.0746877,79215.6,574.978,0.0746524,607.0
1197,79212.7,604.487,0.26866,79215.6,604.492,0.268452,636.5
77,79212.7,453.223,1.27369,79215.6,453.22,1.27401,476.5
745,79212.7,445.48,0.268663,79215.6,445.477,0.268455,468.5
322,79212.7,467.635,0.268663,79215.6,467.637,0.268455,489.0
1043,79212.7,459.767,0.268663,79215.6,459.765,0.268455,485.0
963,79212.7,425.713,1.38209,79215.6,425.711,1.38198,445.75
1260,79212.7,574.98,1.35356,79215.5,574.978,1.35343,528.25
