rep,id,U,L,alpha,mean_cc
1,411,79215.6,574.978,0.268455,910.0
2,411,79215.6,574.978,0.268455,910.0
1,783,79215.6,574.978,0.856521,572.0039999999999
2,783,79215.6,574.978,0.856521,572.0039999999999
1,491,79215.6,574.978,0.268455,254.219875
2,491,79215.6,574.978,0.268455,254.219875
1,433,79215.6,574.978,1.11125,335.306375
2,433,79215.6,574.978,1.11125,335.306375
1,297,79215.6,574.978,0.992141,362.242
2,297,79215.6,574.978,0.992141,362.242
1,183,79215.5,574.978,0.268455,363.422375
2,183,79215.5,574.978,0.268455,363.422375
1,705,79215.6,574.978,1.92319,377.072125
2,705,79215.6,574.978,1.92319,377.072125
1,555,79215.6,574.978,1.57709,503.381125
2,555,79215.6,574.978,1.57709,503.381125
1,394,79215.6,253.073,0.268454,266.9225
2,394,79215.6,253.073,0.268454,266.9225
1,1099,79215.6,574.978,0.268455,295.221875
2,1099,79215.6,574.978,0.268455,295.221875
1,611,79215.6,369.036,1.92432,389.553125
2,611,79215.6,369.036,1.92432,389.553125
1,84,79215.6,574.978,0.653531,670.5
2,84,79215.6,574.978,0.653531,670.5
1,1042,79215.6,574.978,0.268455,697.25
2,1042,79215.6,574.978,0.268455,697.25
1,719,79215.6,574.978,0.268381,701.5
2,719,79215.6,574.978,0.268381,701.5
1,863,79215.4,574.978,0.268455,671.0
2,863,79215.4,574.978,0.268455,671.0
1,488,79215.6,574.978,0.152599,687.0
2,488,79215.6,574.978,0.152599,687.0
1,152,79215.6,574.978,0.10785,695.25
2,152,79215.6,574.978,0.10785,695.25
1,847,79215.7,700.986,0.268455,737.5
2,847,79215.7,700.986,0.268455,737.5
1,1241,79215.6,705.388,0.268455,744.25
2,1241,79215.6,705.388,0.268455,744.25
1,474,79215.6,702.873,4.88865e-12,740.5
2,474,79215.6,702.873,4.88865e-12,740.5
1,1056,79215.6,574.978,0.268455,713.75
2,1056,79215.6,574.978,0.268455,713.75
1,462,79215.6,574.978,0.268455,643.5
2,462,79215.6,574.978,0.268455,643.5
1,1159,79215.6,574.978,0.268455,654.75
2,1159,79215.6,574.978,0.268455,654.75
1,75,79215.6,574.978,0.268455,523.5
2,75,79215.6,574.978,0.268455,523.5
1,1017,79215.6,574.978,1.84825,553.0
2,1017,79215.6,574.978,1.84825,553.0
1,291,79215.6,574.978,0.0746524,607.0
2,291,79215.6,574.978,0.0746524,607.0
1,1197,79215.6,604.492,0.268452,636.5
2,1197,79215.6,604.492,0.268452,636.5
1,77,79215.6,453.22,1.27401,476.5
2,77,79215.6,453.22,1.27401,476.5
1,745,79215.6,445.477,0.268455,468.5
2,745,79215.6,445.477,0.268455,468.5
1,322,79215.6,467.637,0.268455,489.0
2,322,79215.6,467.637,0.268455,489.0
1,1043,79215.6,459.765,0.268455,485.0
2,1043,79215.6,459.765,0.268455,485.0
1,963,79215.6,425.711,1.38198,445.75
2,963,79215.6,425.711,1.38198,445.75
1,1260,79215.5,574.978,1.35343,528.25
2,1260,79215.5,574.978,1.35343,528.25
