rep,id,eta_U,eta_L,eta_alpha,mean_cc
1,411,0,0,0,910.0
2,411,0,0,0,910.0
1,783,0,0,0,572.0039999999999
2,783,0,0,0,572.0039999999999
1,491,0,0,0,254.219875
2,491,0,0,0,254.219875
1,433,0,0,0,335.306375
2,433,0,0,0,335.306375
1,297,0,0,0,362.242
2,297,0,0,0,362.242
1,183,0,0,0,363.422375
2,183,0,0,0,363.422375
1,705,0,0,0,377.072125
2,705,0,0,0,377.072125
1,555,0,0,0,503.381125
2,555,0,0,0,503.381125
1,394,0,0,0,266.9225
2,394,0,0,0,266.9225
1,1099,0,0,0,295.221875
2,1099,0,0,0,295.221875
1,611,0,0,0,389.553125
2,611,0,0,0,389.553125
1,84,0,0,0,670.5
2,84,0,0,0,670.5
1,1042,0,0,0,697.25
2,1042,0,0,0,697.25
1,719,0,0,0,701.5
2,719,0,0,0,701.5
1,863,0,0,0,671.0
2,863,0,0,0,671.0
1,488,0,0,0,687.0
2,488,0,0,0,687.0
1,152,0,0,0,695.25
2,152,0,0,0,695.25
1,847,0,0,0,737.5
2,847,0,0,0,737.5
1,1241,0,0,0,744.25
2,1241,0,0,0,744.25
1,474,0,0,0,740.5
2,474,0,0,0,740.5
1,1056,0,0,0,713.75
2,1056,0,0,0,713.75
1,462,0,0,0,643.5
2,462,0,0,0,643.5
1,1159,0,0,0,654.75
2,1159,0,0,0,654.75
1,75,0,0,0,523.5
2,75,0,0,0,523.5
1,1017,0,0,0,553.0
2,1017,0,0,0,553.0
1,291,0,0,0,607.0
2,291,0,0,0,607.0
1,1197,0,0,0,636.5
2,1197,0,0,0,636.5
1,77,0,0,0,476.5
2,77,0,0,0,476.5
1,745,0,0,0,468.5
2,745,0,0,0,468.5
1,322,0,0,0,489.0
2,322,0,0,0,489.0
1,1043,0,0,0,485.0
2,1043,0,0,0,485.0
1,963,0,0,0,445.75
2,963,0,0,0,445.75
1,1260,0,0,0,528.25
2,1260,0,0,0,528.25
