id,eta_U_SAEM,eta_L_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_alpha_mode,mean_cc
411,0,0,0,0,0,0,910.0
783,0,0,0,0,0,0,572.0039999999999
491,0,0,0,0,0,0,254.219875
433,0,0,0,0,0,0,335.306375
297,0,0,0,0,0,0,362.242
183,0,0,0,0,0,0,363.422375
705,0,0,0,0,0,0,377.072125
555,0,0,0,0,0,0,503.381125
394,0,0,0,0,0,0,266.9225
1099,0,0,0,0,0,0,295.221875
611,0,0,0,0,0,0,389.553125
84,0,0,0,0,0,0,670.5
1042,0,0,0,0,0,0,697.25
719,0,0,0,0,0,0,701.5
863,0,0,0,0,0,0,671.0
488,0,0,0,0,0,0,687.0
152,0,0,0,0,0,0,695.25
847,0,0,0,0,0,0,737.5
1241,0,0,0,0,0,0,744.25
474,0,0,0,0,0,0,740.5
1056,0,0,0,0,0,0,713.75
462,0,0,0,0,0,0,643.5
1159,0,0,0,0,0,0,654.75
75,0,0,0,0,0,0,523.5
1017,0,0,0,0,0,0,553.0
291,0,0,0,0,0,0,607.0
1197,0,0,0,0,0,0,636.5
77,0,0,0,0,0,0,476.5
745,0,0,0,0,0,0,468.5
322,0,0,0,0,0,0,489.0
1043,0,0,0,0,0,0,485.0
963,0,0,0,0,0,0,445.75
1260,0,0,0,0,0,0,528.25
