id,importanceSampling
411,282.333345
783,275.461779
491,313.175586
433,293.293368
297,288.683469
183,311.441469
705,290.440753
555,276.304216
394,309.428215
1099,289.155587
611,290.326598
84,282.952743
1042,287.615356
719,288.426152
863,279.098271
488,287.067264
152,288.392263
847,296.133322
1241,313.040933
474,291.317038
1056,297.991020
462,314.315038
1159,295.776631
75,279.269925
1017,280.849319
291,280.611328
1197,289.647463
77,275.451241
745,280.569988
322,277.136989
1043,272.307743
963,274.060852
1260,274.435613
