parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
U_pop,84166.6747565006,,nan,nan,nan,nan
beta_U_mean_cc_266_9225,-6.7051918493089e-06,,nan,nan,nan,nan
beta_U_mean_cc_295_221875,-5.13492310181495e-06,,nan,nan,nan,nan
beta_U_mean_cc_335_306375,-3.33679291783446e-07,,nan,nan,nan,nan
beta_U_mean_cc_362_242,-1.93973363673979e-05,,nan,nan,nan,nan
beta_U_mean_cc_363_422375,2.71345975447473e-07,,nan,nan,nan,nan
beta_U_mean_cc_377_072125,-0.000256672010381259,,nan,nan,nan,nan
beta_U_mean_cc_389_553125,-7.55369185156604e-08,,nan,nan,nan,nan
beta_U_mean_cc_445_75,7.79549183653416e-09,,nan,nan,nan,nan
beta_U_mean_cc_468_5,-1.58693861002396e-07,,nan,nan,nan,nan
beta_U_mean_cc_476_5,2.98870370579664e-07,,nan,nan,nan,nan
beta_U_mean_cc_485_0,5.91235693794057e-09,,nan,nan,nan,nan
beta_U_mean_cc_489_0,4.51810588654201e-08,,nan,nan,nan,nan
beta_U_mean_cc_503_381125,1.17080083751893e-07,,nan,nan,nan,nan
beta_U_mean_cc_523_5,9.39229879624879e-08,,nan,nan,nan,nan
beta_U_mean_cc_528_25,-4.08273670733766e-05,,nan,nan,nan,nan
beta_U_mean_cc_553_0,6.18844875830074e-08,,nan,nan,nan,nan
beta_U_mean_cc_572_0039999999999,-1.31023638415166e-05,,34378.1537137674,262381308667.644,-67379.9,67379.9
beta_U_mean_cc_607_0,-3.36703707105272e-08,,22443.9256279434,66657791863652.3,-43989.3,43989.3
beta_U_mean_cc_636_5,-5.57125388690532e-08,,9917.26291752598,17800773611907.3,-19437.5,19437.5
beta_U_mean_cc_643_5,-3.31199221116071e-09,,8088.84018777882,244228840892836,-15853.8,15853.8
beta_U_mean_cc_654_75,2.94353727031702e-08,,8907.18349818685,30260134933598.2,-17457.8,17457.8
beta_U_mean_cc_670_5,4.39209815431205e-06,,nan,nan,nan,nan
beta_U_mean_cc_671_0,-3.42670161531971e-08,,24962.5091759332,72847046455208.3,-48925.6,48925.6
beta_U_mean_cc_687_0,1.87483915222605e-07,,24200.7640433136,12908181490971.8,-47432.6,47432.6
beta_U_mean_cc_695_25,-3.04811234664225e-06,,nan,nan,nan,nan
beta_U_mean_cc_697_25,6.62333198776911e-08,,14523.226491183,21927372081004.1,-28465,28465
beta_U_mean_cc_701_5,4.62579641906782e-07,,25227.0710182783,5453562745280.09,-49444.2,49444.2
beta_U_mean_cc_713_75,-4.65644977931439e-08,,9441.75930109402,20276733882190,-18505.5,18505.5
beta_U_mean_cc_737_5,1.63381496935674e-07,,8779.0095351828,5373319316959.91,-17206.5,17206.5
beta_U_mean_cc_740_5,-3.11657663755421e-06,,9227.65966195883,296083194321.844,-18085.9,18085.9
