id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,eta_alpha_SAEM,f_mode,h_mode,s_mode,L_gap_mode,eta_alpha_mode,mab_virus,run_id
411|4,0.543334,1.61071,1.00027,-175.85,0.0192425,0.543361,1.61069,1.00028,-175.85,0.0193537,70.0|274,411
411|3,0.543334,1.61071,1.00027,-175.85,0.0192425,0.543361,1.61069,1.00028,-175.85,0.0193537,70.0|274,411
411|5,0.543334,1.61071,1.00027,-175.85,0.0192425,0.543361,1.61069,1.00028,-175.85,0.0193537,70.0|274,411
411|6,0.543334,1.61071,1.00027,-175.85,0.0192425,0.543361,1.61069,1.00028,-175.85,0.0193537,70.0|274,411
411|8,0.543334,1.61071,1.00027,-175.85,0.0192425,0.543361,1.61069,1.00028,-175.85,0.0193537,70.0|274,411
411|7,0.543334,1.61071,1.00027,-175.85,0.0192425,0.543361,1.61069,1.00028,-175.85,0.0193537,70.0|274,411
411|9,0.543334,1.61071,1.00027,-175.85,0.0192425,0.543361,1.61069,1.00028,-175.85,0.0193537,70.0|274,411
411|10,0.543334,1.61071,1.00027,-175.85,0.0192425,0.543361,1.61069,1.00028,-175.85,0.0193537,70.0|274,411
411|12,0.543334,1.61071,1.00027,-175.85,0.0192425,0.543361,1.61069,1.00028,-175.85,0.0193537,70.0|274,411
411|11,0.543334,1.61071,1.00027,-175.85,0.0192425,0.543361,1.61069,1.00028,-175.85,0.0193537,70.0|274,411
411|1,0.124233,1.61124,1.00027,-174.692,0.0192425,0.124234,1.61122,1.00028,-174.692,0.0193537,69.0|274,411
411|2,0.124233,1.61124,1.00027,-174.692,0.0192425,0.124234,1.61122,1.00028,-174.692,0.0193537,69.0|274,411
152|8,0.124227,0.992901,1.00027,-178.809,0.0192425,0.124227,0.992884,1.00028,-178.809,0.0193537,65.0|322,152
152|7,0.124227,0.992901,1.00027,-178.809,0.0192425,0.124227,0.992884,1.00028,-178.809,0.0193537,65.0|322,152
152|6,0.124227,0.992901,1.00027,-178.809,0.0192425,0.124227,0.992884,1.00028,-178.809,0.0193537,65.0|322,152
152|5,0.124227,0.992901,1.00027,-178.809,0.0192425,0.124227,0.992884,1.00028,-178.809,0.0193537,65.0|322,152
152|12,0.0657607,1.1273,1.00027,-173.225,0.0192425,0.0657598,1.12728,1.00028,-173.225,0.0193537,28.0|322,152
152|11,0.0657607,1.1273,1.00027,-173.225,0.0192425,0.0657598,1.12728,1.00028,-173.225,0.0193537,28.0|322,152
152|10,0.0657607,1.1273,1.00027,-173.225,0.0192425,0.0657598,1.12728,1.00028,-173.225,0.0193537,28.0|322,152
152|9,0.0657607,1.1273,1.00027,-173.225,0.0192425,0.0657598,1.12728,1.00028,-173.225,0.0193537,28.0|322,152
152|3,0.124227,1.0481,1.00027,-174.274,0.0192425,0.124227,1.04809,1.00028,-174.274,0.0193537,22.0|322,152
152|4,0.124227,1.0481,1.00027,-174.274,0.0192425,0.124227,1.04809,1.00028,-174.274,0.0193537,22.0|322,152
152|1,0.124227,1.61083,1.00027,-174.44,0.0192425,0.124227,1.61081,1.00028,-174.44,0.0193537,69.0|322,152
152|2,0.124227,1.61083,1.00027,-174.44,0.0192425,0.124227,1.61081,1.00028,-174.44,0.0193537,69.0|322,152
1056|8,0.124227,1.75997,1.00027,-174.463,0.0192425,0.124227,1.75994,1.00028,-174.463,0.0193537,65.0|276,1056
1056|7,0.124227,1.75997,1.00027,-174.463,0.0192425,0.124227,1.75994,1.00028,-174.463,0.0193537,65.0|276,1056
1056|6,0.124227,1.75997,1.00027,-174.463,0.0192425,0.124227,1.75994,1.00028,-174.463,0.0193537,65.0|276,1056
1056|5,0.124227,1.75997,1.00027,-174.463,0.0192425,0.124227,1.75994,1.00028,-174.463,0.0193537,65.0|276,1056
1056|12,0.124227,3.22579,1.00027,-177.618,0.0192425,0.124227,3.22577,1.00028,-177.618,0.0193537,28.0|276,1056
1056|11,0.124227,3.22579,1.00027,-177.618,0.0192425,0.124227,3.22577,1.00028,-177.618,0.0193537,28.0|276,1056
1056|10,0.124227,3.22579,1.00027,-177.618,0.0192425,0.124227,3.22577,1.00028,-177.618,0.0193537,28.0|276,1056
1056|9,0.124227,3.22579,1.00027,-177.618,0.0192425,0.124227,3.22577,1.00028,-177.618,0.0193537,28.0|276,1056
1056|4,0.124227,1.93484,1.00027,-176.554,0.0192425,0.124227,1.93476,1.00028,-176.554,0.0193537,22.0|276,1056
1056|3,0.124227,1.93484,1.00027,-176.554,0.0192425,0.124227,1.93476,1.00028,-176.554,0.0193537,22.0|276,1056
1056|1,0.124227,1.61072,1.00027,-177.963,0.0192425,0.124227,1.6107,1.00028,-177.963,0.0193537,69.0|276,1056
1056|2,0.124227,1.61072,1.00027,-177.963,0.0192425,0.124227,1.6107,1.00028,-177.963,0.0193537,69.0|276,1056
462|6,0.124227,0.334132,1.00027,-178.171,-0.00728415,0.124227,0.334151,1.00028,-178.171,-0.00763485,55.0|292,462
462|5,0.124227,0.334132,1.00027,-178.171,-0.00728415,0.124227,0.334151,1.00028,-178.171,-0.00763485,55.0|292,462
462|4,0.124227,0.334132,1.00027,-178.171,-0.00728415,0.124227,0.334151,1.00028,-178.171,-0.00763485,55.0|292,462
462|3,0.124227,0.334132,1.00027,-178.171,-0.00728415,0.124227,0.334151,1.00028,-178.171,-0.00763485,55.0|292,462
462|9,0.124228,7.45732,1.00027,-174.512,-0.00728415,0.124228,7.4573,1.00028,-174.512,-0.00763485,32.0|292,462
462|10,0.124228,7.45732,1.00027,-174.512,-0.00728415,0.124228,7.4573,1.00028,-174.512,-0.00763485,32.0|292,462
462|7,0.124228,7.45732,1.00027,-174.512,-0.00728415,0.124228,7.4573,1.00028,-174.512,-0.00763485,32.0|292,462
462|8,0.124228,7.45732,1.00027,-174.512,-0.00728415,0.124228,7.4573,1.00028,-174.512,-0.00763485,32.0|292,462
462|11,0.124227,1.22475,1.00027,-176.406,-0.00728415,0.124227,1.22487,1.00028,-176.406,-0.00763485,22.0|292,462
462|12,0.124227,1.22475,1.00027,-176.406,-0.00728415,0.124227,1.22487,1.00028,-176.406,-0.00763485,22.0|292,462
462|1,0.124227,1.61793,1.00027,-176.413,-0.00728415,0.124227,1.61795,1.00028,-176.413,-0.00763485,69.0|292,462
462|2,0.124227,1.61793,1.00027,-176.413,-0.00728415,0.124227,1.61795,1.00028,-176.413,-0.00763485,69.0|292,462
